age,annual_income,education_years,work_experience_years,loan_amount,loan_duration_months,interest_rate,debt_to_income_ratio,monthly_expenses,savings_balance,investment_balance,number_of_dependents,employment_stability_years,housing_status_score,marital_status_score,health_risk_index,insurance_coverage_score,spending_score,online_activity_score,device_usage_hours,location_risk_index,previous_default_count,financial_literacy_score,loan_default,loan_to_income_ratio,expenses_to_income_ratio,savings_to_income_ratio,raw_cluster_id,financial_profile_label
19,51140.401280784776,10,21,3899.654973426368,60,9.57717591632542,0.7336550053430432,2704.161100239992,11805.190405191788,16519.33519733899,2,9,5,3,0.6925601762386705,3,68,12,7.289109410837652,0.5400797468714449,1,68,0,0.07625389859605196,0.6345263703488473,0.23083883015261766,1,2
24,69028.63147290911,8,19,21084.03281277206,48,8.383829865485687,0.7985513965050776,2611.1063928174963,16913.19025829699,7685.012617749124,2,25,1,1,0.4691942045833897,3,62,5,5.108674424564947,0.0073904293373605,0,92,0,0.3054389513871019,0.45391710722393463,0.24501702985281865,2,0
44,55186.37295387536,10,1,28297.79601114645,24,7.321765433936184,0.4540560476839422,2442.756164296688,15841.848670478195,32653.859574184728,2,22,3,1,0.0011024073070375,2,20,16,2.9060734430643564,0.7041911497935949,1,52,0,0.5127678174247414,0.5311650757707895,0.2870608779402621,2,0
31,61403.6515024514,12,16,38358.63527054405,12,5.9974728683886935,0.5791869035776447,2369.382349172255,10444.248233189706,29316.39389590441,5,15,5,2,0.7535899481100788,2,65,80,2.938126806081887,0.7012585157470013,0,88,0,0.6246963223190835,0.4630439313357766,0.17009164728212856,2,0
31,42536.55984985968,9,19,46599.67527215879,36,9.115590755802105,0.1357218618402084,2052.929537437221,9150.893057070596,34101.51475162183,4,19,1,1,0.3648493904674809,5,98,96,5.440192832216553,0.5244572653647447,0,58,0,1.095520546011257,0.5791524875589561,0.21513006903638407,0,1
47,48574.34138910163,16,31,1000.0,12,3.731231471553599,0.7476179664501781,2956.5613623855534,3961.489021913949,18800.36324907373,3,24,5,2,0.6764706952910565,3,81,40,4.642626635101315,0.7266374805376026,1,44,0,0.020587000696305164,0.7304007699132039,0.08155517725254773,2,0
46,56280.90977467313,8,32,27340.80071429221,48,12.492620698308356,0.2618737154966394,2010.6353160531532,26158.280953717265,7508.864586406558,2,16,1,3,0.8662231934548846,5,13,22,0.9301882912226846,0.390072706647654,0,40,0,0.4857917333560197,0.42869996041704833,0.46478070554375983,1,2
23,80746.2662344677,14,0,34547.17708562719,60,5.052900549277085,0.1415502024893605,1938.611671744672,16237.201138541564,18505.64950949142,4,6,2,3,0.7150679601402498,1,41,31,5.0428029149628175,0.5858819546718128,0,24,0,0.4278486015106942,0.28810422011817777,0.20108918833959016,2,0
30,52653.38827667872,19,26,34487.723927598854,12,15.58600994270936,0.0565543105677976,1609.16203800045,11303.954285635396,6027.136827950229,4,20,5,3,0.9669613054859932,2,40,53,3.4583821304398463,0.4616765657778491,0,12,0,0.6549953394523365,0.36673697720148757,0.21468617036070503,1,2
46,35315.42415577533,11,15,27099.229975088576,36,7.232930758188635,0.7648541212935388,1693.493903645562,16746.592333878994,25715.260226123773,2,9,5,1,0.7509782153489152,5,26,74,11.733926283761534,0.5385147970025052,0,73,0,0.7673482797645201,0.5754405427528579,0.4742005153331942,0,1
20,72012.0649183922,18,26,20288.59564549443,36,17.436451494593904,0.4582335645323129,2038.7891733152967,23024.538215994307,6534.122594982293,2,6,5,3,0.1314950979937408,1,66,30,6.526059637476944,0.9428443600496772,0,76,0,0.28173884013028255,0.33974126568248103,0.31973167610298225,1,2
31,79471.92421608003,18,0,20393.896850363537,24,13.752959628355637,0.3171480367878692,2499.174635370342,29090.436436412994,34662.75454817417,3,4,1,1,0.2352820406213372,3,25,30,8.81798520455026,0.5214852858487214,1,95,0,0.25661763008170774,0.37736717614767434,0.36604671050014603,1,2
45,54776.37966843457,9,11,27921.02672147182,12,10.726236301662835,0.1192217546807945,2677.696256658057,24971.13844491957,33745.50103235424,1,7,4,1,0.6290248884442807,3,88,61,9.849380401443664,0.4390492791791611,0,20,0,0.5097274936839534,0.586609689694649,0.4558742033714476,2,0
50,61363.12716820755,9,2,17167.723580777878,60,3.4230764245173315,0.4401832796703628,1393.2662326517593,28938.08358108525,29422.117129553,3,10,3,2,0.0486915202873017,1,13,46,1.909842221457792,0.7076386405534837,0,30,0,0.27977263175845013,0.27246321306263843,0.47158749751720885,2,0
25,66647.4027644367,14,14,24292.81847698409,48,6.290163092997568,0.4342170867013979,2447.8184887230404,0.0,14370.920834474324,5,24,1,1,0.9501035239500348,1,2,20,9.880898362366848,0.3784805645418074,0,61,0,0.36449760184723695,0.4407346820175034,0.0,2,0
50,36032.99132906845,18,7,45283.40694976445,24,12.73917947624014,0.5193341965438657,3879.2870605038897,12184.800071496027,44322.84787276808,3,22,4,1,0.7276139459910688,2,6,69,0.5032204368213599,0.2726713813780255,1,34,0,1.2567207239670255,1.2919117455700329,0.33815677305886993,0,1
25,53708.766769426446,19,32,41345.66539496345,48,10.383175999931431,0.6653020617341997,1901.237783448043,6717.419843066258,11609.874896760452,5,1,1,1,0.4914557682699191,3,49,73,1.4345790138510068,0.469059968516851,0,54,0,0.7698122277218129,0.42478825662338243,0.12507119874683342,1,2
38,58196.13276753268,16,28,47465.14308575666,48,9.069458223212994,0.3750295800984871,3705.768948828468,19077.308277950724,0.0,0,9,5,1,0.3012333705365038,1,60,95,8.072280858053539,0.3344283150768729,0,61,0,0.8156064815399077,0.7641268460840196,0.32781058415266134,0,1
51,81626.33852411326,11,6,17769.065278358034,12,7.916533579455068,0.6669882026559866,3344.6943565181323,20143.993386329574,27338.785643878844,5,27,5,2,0.0941535690420781,3,26,72,6.157781665244166,0.0341485882890256,0,83,0,0.21768788848845483,0.49170810554439975,0.2467830084082337,2,0
56,68425.62731740797,18,3,1000.0,48,5.464302297687143,0.6759944591082809,1307.8412893898708,17576.040888594347,17120.367186764546,0,13,5,3,0.3700585927352755,2,51,74,6.413619316866177,0.1161529895303451,0,60,0,0.014614407484512646,0.22935990633856798,0.2568634235103735,2,0
43,83907.34170786609,19,13,1000.0,24,7.747598719726126,0.5058269088832622,2067.850645224069,22618.70403035188,22915.13371296207,5,28,1,2,0.0650669822656352,2,60,53,6.891475541827213,0.8743901038845057,0,88,0,0.011917908250289053,0.29573345118097766,0.26956763937417694,2,0
22,62964.94562813677,18,4,53188.14282666311,12,7.423168344656957,0.6375592209209114,2367.069549105127,6785.601997445818,24873.96203177829,3,6,3,2,0.0688303988725623,2,40,47,4.791221948102894,0.6445375942115925,1,91,0,0.8447262567458685,0.45112140264548134,0.10776793229554663,2,0
35,81929.48021403144,19,4,31292.239731905825,12,12.351535748369855,0.8699991080141615,5295.999795752384,30776.613523213608,33526.343803362484,4,14,2,2,0.5916713326964603,4,30,75,0.8021653905817643,0.6321289950268181,0,42,0,0.3819411480477895,0.7756914529789063,0.3756476111262174,1,2
27,65535.68273277063,18,19,35358.47453992395,12,7.803868752444034,0.3789415070933203,1995.3941590571967,24144.398032705256,0.0,2,28,2,1,0.8928791601951783,3,3,50,11.617754725642012,0.1799185693669243,0,15,0,0.5395301165031307,0.3653693516297645,0.3684160601661365,2,0
33,48595.99470657583,14,3,47007.120776447744,60,11.061876556744052,0.1561822535780953,1843.743779124872,1306.212301269763,2400.4678706612576,3,16,1,1,0.0404789650428019,2,59,30,2.70998046614558,0.5745001397053884,0,28,0,0.9673044262243883,0.4552828989938259,0.026879011514358633,1,2
47,64564.52372786023,13,23,5700.3706419775845,60,15.787221609181112,0.190172654666457,1611.3837073291838,29582.918371144508,20477.73081488844,5,29,5,2,0.0969007633655166,4,100,9,1.446788367056567,0.7935919733161931,0,28,0,0.08828951741369105,0.2994927147523629,0.45819153713325056,1,2
38,63355.78067917888,9,22,43154.37602879651,36,17.129298369759567,0.3971959523571592,2138.5537064817654,14695.888449590955,24766.73477510103,3,7,3,2,0.6701145968700106,1,2,12,8.39360169175753,0.4392388361135418,0,73,0,0.6811434657765756,0.40505608490141937,0.23195813060860257,1,2
59,67049.67414122398,17,6,46377.37877174665,12,17.674354969162017,0.0590405342332249,2581.171081522982,21415.95998721495,35787.558780634376,4,8,2,3,0.6818255511964982,3,65,3,9.42410858946982,0.6955320920547249,2,31,0,0.6916868629974827,0.46195680105821857,0.31940438580070335,1,2
49,101397.47325188071,15,10,11299.81867536005,60,5.203324482655718,0.5249959794874786,2141.5534518539425,24774.895052457294,21151.553647196102,0,5,1,1,0.3337184289809275,4,69,45,10.511069141822508,0.4527315536462792,0,52,0,0.1114408309494089,0.2534445938155629,0.2443344420517675,2,0
47,84398.08610778503,19,17,34282.026234520745,24,14.656742966889931,0.668976916787319,2455.594023886998,21981.731603021915,13612.208188520546,0,22,1,1,0.7007153619643551,1,91,84,7.528096902671742,0.7964110268239702,1,50,0,0.40619435600398657,0.34914450843128625,0.2604529630559274,1,2
24,86004.26312479223,13,0,12593.280876363337,12,15.512692759217453,0.8006053453041705,1946.3866257144637,17801.36757126349,28799.223191676083,3,5,4,1,0.1163312619860194,5,16,94,8.295517108653765,0.2772450716166011,1,20,0,0.14642624003522337,0.27157536917307307,0.20698238580840694,1,2
58,55634.15474241977,10,12,20680.045061722143,12,17.434412083295104,0.5920641798465741,1269.244174502558,6667.292700605518,14057.686091303382,2,2,1,3,0.2470891373728013,5,78,98,1.3007413304948148,0.0442610603673365,0,18,0,0.37171491429084447,0.2737694167287754,0.1198417183019024,1,2
18,21905.53780463056,11,8,18298.200600473512,48,15.741569099667329,0.360876160384489,3111.125378642986,10015.745280088777,8612.465559494587,4,11,5,1,0.7762120665683535,2,18,52,3.844080166818209,0.7920099924006896,1,95,0,0.8353230477000888,1.7042952734912535,0.45722434981585214,0,1
33,80822.78432911768,15,30,31634.78102050813,60,14.629847493828288,0.3870573568938268,1432.023484871837,11904.434030861832,23290.25330115988,4,2,3,1,0.2197057007667707,4,60,94,5.259004655140908,0.2887035259298161,0,27,0,0.3914091958486414,0.2126168005854153,0.14729057071810223,1,2
21,70650.56354650728,15,37,27026.00657221885,12,12.543936834074357,0.6228240809043746,333.44485587641884,14153.392780237917,11350.148571899488,1,13,2,2,0.5874306847483834,3,79,67,7.665288843823552,0.3743613758556673,1,12,0,0.38253065815148646,0.05663561717923251,0.20032951005296845,1,2
54,24423.430364753272,15,34,32741.977050842703,12,14.719242401630895,0.6859026478914214,3197.917482418868,13556.561149509324,2347.7716403046834,2,14,3,2,0.0446066724883215,4,90,20,3.960461873583957,0.4752763645020648,0,34,0,1.3405969825636925,1.5712375049660263,0.5550637624219039,0,1
51,75281.09398922697,14,4,15789.214362388737,12,9.718022122879344,0.3876697592680412,2505.737084649301,13177.2525916684,12115.135836483583,5,16,3,1,0.8275556515378722,2,52,19,3.5181510061476517,0.2030510692495108,1,53,0,0.2097367815171262,0.3994209358872307,0.17504066284629338,2,0
55,59430.838945265394,16,14,29450.94142047569,12,15.259177054201114,0.5491907139083695,1354.089741529643,25921.40852115737,45276.80007096731,0,27,4,1,0.8851655078080947,4,54,60,5.273944040755676,0.1028369490186306,0,97,0,0.4955498179589794,0.2734115349325758,0.4361609053681787,1,2
