Daerah,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
BANYUWANGI,116.57,121.15,123.74,127.47,129.36,102.88,104.32,105.95,112.72,,,
BULUKUMBA,124.24,127.58,132.55,138.73,142.53,105.18,107.05,109.29,114.24,,,
BUNGO,116.86,121.76,125.34,129.79,132.94,104.68,105.98,108.77,115.25,,,
CILACAP,120.73,125.18,130.74,135.73,137.83,102.97,104.66,106.99,114.26,,,
DILI,-,-,-,-,-,,,,,,,
DKI JAKARTA,119.2,123.57,127.94,132.02,135.93,104.84,106.3,108.02,112.42,,,
INDONESIA,118.28,123.51,128.24,132.32,135.72,104.62,106.06,108.24,114.16,105.58,105.48,110.5
JEMBER,116.61,120.91,124.62,127.82,130.61,104.27,105.88,108.25,116.05,,,
KAB ACEH TAMIANG,-,-,-,-,-,,,,,,,
KAB ACEH TENGAH,-,-,-,-,-,,,,,,,
KAB BADUNG,-,-,-,-,-,,,,,,,
KAB BANDUNG,-,-,-,-,-,,,,,,,
KAB BANGKA BARAT,-,-,-,-,-,,,,,,,
KAB BELITUNG TIMUR,-,-,-,-,-,,,,,,,
KAB BERAU,-,-,-,-,-,,,,,,,
KAB BOJONEGORO,-,-,-,-,-,,,,,,,
KAB DELI SERDANG,-,-,-,-,-,,,,,,,
KAB DHARMASRAYA,-,-,-,-,-,,,,,,,
KAB GORONTALO,-,-,-,-,-,,,,,,,
KAB GRESIK,-,-,-,-,-,,,,,,,
KAB GUNUNGKIDUL,-,-,-,-,-,,,,,,,
KAB HALMAHERA TENGAH,-,-,-,-,-,,,,,,,
KAB HULU SUNGAI TENGAH,-,-,-,-,-,,,,,,,
KAB JAYAWIJAYA,-,-,-,-,-,,,,,,,
KAB KAMPAR,-,-,-,-,-,,,,,,,
KAB KAPUAS,-,-,-,-,-,,,,,,,
KAB KARIMUN,-,-,-,-,-,,,,,,,
KAB KARO,-,-,-,-,-,,,,,,,
KAB KAYONG UTARA,-,-,-,-,-,,,,,,,
KAB KERINCI,-,-,-,-,-,,,,,,,
KAB KETAPANG,-,-,-,-,-,,,,,,,
KAB KOLAKA,-,-,-,-,-,,,,,,,
KAB KONAWE,-,-,-,-,-,,,,,,,
KAB LABUHANBATU,-,-,-,-,-,,,,,,,
KAB LAMPUNG TIMUR,-,-,-,-,-,,,,,,,
KAB LEBAK,-,-,-,-,-,,,,,,,
KAB LUWU TIMUR,-,-,-,-,-,,,,,,,
KAB MAJALENGKA,-,-,-,-,-,,,,,,,
KAB MAJENE,-,-,-,-,-,,,,,,,
KAB MALUKU TENGAH,-,-,-,-,-,,,,,,,
KAB MESUJI,-,-,-,-,-,,,,,,,
KAB MINAHASA SELATAN,-,-,-,-,-,,,,,,,
KAB MINAHASA UTARA,-,-,-,-,-,,,,,,,
KAB MOROWALI,-,-,-,-,-,,,,,,,
KAB MUARA ENIM,-,-,-,-,-,,,,,,,
KAB MUKO MUKO,-,-,-,-,-,,,,,,,
KAB NABIRE,-,-,-,-,-,,,,,,,
KAB NGADA,-,-,-,-,-,,,,,,,
KAB NUNUKAN,-,-,-,-,-,,,,,,,
KAB OGAN KOMERING ILIR,-,-,-,-,-,,,,,,,
KAB PANDEGLANG,-,-,-,-,-,,,,,,,
KAB PASAMAN BARAT,-,-,-,-,-,,,,,,,
KAB PENAJAM PASER UTARA,-,-,-,-,-,,,,,,,
KAB REMBANG,-,-,-,-,-,,,,,,,
KAB SIDENRENG RAPPANG,-,-,-,-,-,,,,,,,
KAB SORONG,-,-,-,-,-,,,,,,,
KAB SORONG SELATAN,-,-,-,-,-,,,,,,,
KAB SUBANG,-,-,-,-,-,,,,,,,
KAB SUKAMARA,-,-,-,-,-,,,,,,,
KAB SUMBAWA,-,-,-,-,-,,,,,,,
KAB TABANAN,-,-,-,-,-,,,,,,,
KAB TANAH LAUT,-,-,-,-,-,,,,,,,
KAB TIMOR TENGAH SELATAN,-,-,-,-,-,,,,,,,
KAB TOLI TOLI,-,-,-,-,-,,,,,,,
KAB TULUNGAGUNG,-,-,-,-,-,,,,,,,
KAB WAJO,-,-,-,-,-,,,,,,,
KAB WONOGIRI,-,-,-,-,-,,,,,,,
KAB WONOSOBO,-,-,-,-,-,,,,,,,
KOTA AMBON,118.98,122.41,125.26,127.43,131.04,106.32,105.09,109.67,115.85,,,
KOTA BALIKPAPAN,121.8,126.72,132.65,135.21,140,103.41,103.67,106.04,112.36,,,
KOTA BANDA ACEH,113.91,117.03,120.5,125.09,128.06,103.73,106.15,109.21,116.35,,,
KOTA BANDAR LAMPUNG,117.31,123.59,129.13,133.25,135.02,105.71,107.34,108.6,115.76,,,
KOTA BANDUNG,116.62,122.18,126.37,130.97,134.49,104.63,105.89,108.07,116.17,,,
KOTA BANJARMASIN,116.22,122.62,127.73,131.3,135.56,105.19,107.08,110.01,117.47,,,
KOTA BARU,,,,,,106.93,107.78,111.27,120.04,,,
KOTA BATAM,115.94,122.61,127.92,133.43,137.5,103.51,104.75,107.5,113.88,,,
KOTA BAU-BAU,121.87,126.99,129.26,133.91,136.59,,,,,,,
KOTA BEKASI,117.22,120.5,124.26,128.72,133.25,105.88,108.49,110.54,116.6,,,
KOTA BENGKULU,121.73,129.14,136.65,140.8,143.98,103.65,104.89,107.32,113.92,,,
KOTA BIMA,120.01,127.32,130.4,135,138.81,104.6,104.8,107.13,113.86,,,
KOTA BOGOR,117.21,122.73,128.2,133.21,136.71,105.91,107.58,109.91,116.67,,,
KOTA BUA-BAU,,,,,,102.2,104.41,107.29,114.32,,,
KOTA BUKITTINGGI,114.99,121.62,126,128.69,130.7,103.46,105.01,107.5,115.42,,,
KOTA CILEGON,119.93,126.46,132.76,138.76,142.06,105.44,107.71,110.14,117.03,,,
KOTA CIREBON,116.45,119.22,122.7,128.48,130.03,102.42,103.49,105.95,112.01,,,
KOTA DENPASAR,116.19,120.25,125.33,129.21,131.74,104.64,104.81,107.09,113.91,,,
KOTA DEPOK,117.49,121.51,126.13,130.5,133.13,105.44,106.77,109.18,115.95,,,
KOTA DUMAI,118.35,123.94,131.1,133.98,135.82,103.74,105.97,108.02,115.55,,,
KOTA GORONTALO,113.11,120.32,123.74,126.86,129.16,103.94,105.29,106.48,112.63,,,
KOTA GUNUNGSITOLI,-,-,-,-,-,102.98,107.33,109.91,115.65,,,
KOTA JAMBI,117.19,122.47,125.74,130.71,133.5,104.67,106.45,108.29,115.69,,,
KOTA JAYAPURA,119.64,124.7,127.82,131.65,140.91,103.91,104.41,105.0,110.46,,,
KOTA KEDIRI,117.75,121.16,124.57,127.28,129.35,104.3,105.61,107.77,113.75,,,
KOTA KENDARI,114,119.9,123.35,126.08,129.36,103.09,104.91,108.71,115.37,,,
KOTA KOTAMOBAGU,-,-,-,-,-,104.21,106.85,108.96,116.93,,,
KOTA KUPANG,119.17,126.6,130.32,132.77,135.44,104.2,104.46,107.17,113.14,,,
KOTA LHOKSEUMAWE,113.6,118.49,124.27,128.26,130.45,103.54,106.71,108.84,116.0,,,
KOTA LUBUKLINGGAU,113.88,120.58,125.23,129.79,131.61,103.83,105.29,107.63,113.44,,,
KOTA MADIUN,116.18,120.67,125.46,129.73,132.4,103.19,105.06,106.94,113.04,,,
KOTA MAKASSAR,116.21,124.19,128.89,133.25,137.29,104.54,106.23,108.46,114.66,,,
KOTA MALANG,118.53,123.66,128.49,132.22,135.14,103.28,104.08,106.59,112.95,,,
KOTA MANADO,117.54,123.96,128.49,130.06,134.36,105.81,106.41,107.86,113.07,,,
KOTA MATARAM,117.36,122.49,126.67,130.06,133.07,103.4,104.72,106.51,113.22,,,
KOTA MEDAN,118.64,126.31,132.59,136.82,138.42,103.09,104.21,106.72,112.92,,,
KOTA METRO,125.45,131.67,135.42,138.11,139.58,105.08,107.18,109.6,116.16,,,
KOTA MEULABOH,119.24,122.27,128.03,131.3,133.34,106.09,108.99,111.46,120.06,,,
KOTA PADANG,120.98,128.21,134.06,136.76,139.49,103.56,105.05,108.02,115.37,,,
KOTA PADANGSIDIMPUAN,116.25,120.86,126.63,129.75,133.05,104.01,107.19,110.07,117.47,,,
KOTA PALANGKA RAYA,116.26,120.74,124.74,127.64,132.6,104.99,105.57,108.5,115.14,,,
KOTA PALEMBANG,115.05,120.78,125.73,129.21,131.95,103.98,104.99,107.54,113.39,,,
KOTA PALOPO,115.98,121.3,125.87,131.04,133.92,103.41,104.88,107.94,113.73,,,
KOTA PALU,118.14,123.95,129.14,133.08,141.04,105.53,107.57,110.06,116.19,,,
KOTA PANGKAL PINANG,118.32,125.41,134.19,137.54,142.3,103.33,104.3,107.89,113.2,,,
KOTA PARE-PARE,116.54,120.86,123.4,128.09,129.22,103.82,105.07,110.0,116.11,,,
KOTA PEKANBARU,118.02,122.5,129.04,133.59,135.96,103.39,105.04,107.75,114.97,,,
KOTA PEMATANG SIANTAR,119.56,126.21,132.8,136.1,138.69,103.45,106.27,109.03,115.5,,,
KOTA PONTIANAK,124.2,130.66,137.74,140.77,147.15,105.41,106.26,108.63,114.55,,,
KOTA PROBOLINGGO,117.98,121.64,124.66,127.76,129.74,103.42,104.88,106.67,112.39,,,
KOTA SAMARINDA,120.7,125.98,130.31,134.57,138.6,104.16,104.65,107.18,112.44,,,
KOTA SEMARANG,117.37,121.88,126.53,130.65,132.5,104.86,106.23,107.73,113.43,,,
KOTA SERANG,121.63,129.76,134.73,141.38,145.88,106.25,108.11,111.19,118.64,,,
KOTA SIBOLGA,117.68,125.62,131.5,137.65,139.48,104.59,106.23,109.58,117.15,,,
KOTA SINGKAWANG,118.96,122.86,127.99,133.95,138.6,102.64,104.32,107.61,113.4,,,
KOTA SORONG,116.54,124.69,128.1,129.8,134.37,102.37,103.71,107.1,111.75,,,
KOTA SUKABUMI,118.96,122.82,126.58,131.53,134.3,104.44,105.99,108.21,114.1,,,
KOTA SURABAYA,117.79,122.6,128.18,132.27,135.52,104.25,105.45,108.12,115.29,,,
KOTA SURAKARTA,115.55,120.32,124.43,127.53,129.67,103.75,105.59,108.09,115.77,,,
KOTA TANGERANG,123.72,131.04,135.13,138.71,143.55,104.41,105.65,107.55,112.54,,,
KOTA TANJUNG PINANG,119.04,123.84,127.98,130.68,134.01,103.26,104.77,106.19,111.17,,,
KOTA TARAKAN,126.44,132.27,137.59,141.19,148.78,103.63,104.27,108.41,112.86,,,
KOTA TASIKMALAYA,116.39,121.85,125.69,130.83,132.63,102.46,103.88,105.79,112.7,,,
KOTA TEGAL,114.22,119.75,124.08,128.97,131.18,104.57,106.34,108.86,115.91,,,
KOTA TERNATE,120.62,127.28,131.13,134.19,139.03,105.23,106.08,107.13,114.42,,,
KOTA TUAL,130.63,134.68,141.72,154.04,159.05,104.91,106.55,109.32,116.68,,,
KOTA YOGYAKARTA,116.52,120.98,125.19,129.04,132.26,105.33,106.82,109.22,116.08,,,
KOTABARU,-,-,-,-,-,,,,,,,
KUDUS,123.23,128.5,134.22,138.81,140.97,103.77,105.15,107.2,113.82,,,
LUWUK,-,-,-,-,-,106.89,107.67,110.82,118.28,,,
MAMUJU,115.69,122.25,127.61,131.27,132.06,103.03,106.72,109.8,114.79,,,
MANOKWARI,112.5,115.94,121.76,124.46,133.28,108.96,106.82,109.75,117.25,,,
MAUMERE,112.91,118.41,122.29,124.73,126.81,104.35,106.57,107.69,114.0,,,
MERAUKE,124.87,128.6,134.01,136.12,138.03,104.39,104.48,107.14,111.59,,,
PROV ACEH,,,,,,,,,,106.12,106.56,113.96
PROV BALI,,,,,,,,,,105.95,107.23,111.4
PROV BANTEN,,,,,,,,,,105.14,104.79,110.18
PROV BENGKULU,,,,,,,,,,106.07,104.73,108.79
PROV DI YOGYAKARTA,,,,,,,,,,105.65,105.33,110.5
PROV DKI JAKARTA,,,,,,,,,,104.42,103.8,108.9
PROV GORONTALO,,,,,,,,,,105.25,104.95,110.51
PROV JAMBI,,,,,,,,,,106.06,105.77,110.62
PROV JAWA BARAT,,,,,,,,,,106.24,105.95,110.94
PROV JAWA TENGAH,,,,,,,,,,105.83,105.75,110.43
PROV JAWA TIMUR,,,,,,,,,,105.93,105.9,111.07
PROV KALIMANTAN BARAT,,,,,,,,,,105.49,105.53,109.65
PROV KALIMANTAN SELATAN,,,,,,,,,,105.66,105.92,112.24
PROV KALIMANTAN TENGAH,,,,,,,,,,105.27,105.57,110.91
PROV KALIMANTAN TIMUR,,,,,,,,,,105.92,105.6,110.5
PROV KALIMANTAN UTARA,,,,,,,,,,104.62,104.11,109.06
PROV KEPULAUAN BANGKA BELITUNG,,,,,,,,,,104.0,103.33,106.75
PROV KEPULAUAN RIAU,,,,,,,,,,105.46,107.66,111.47
PROV LAMPUNG,,,,,,,,,,106.97,106.95,110.11
PROV MALUKU,,,,,,,,,,104.58,105.97,112.3
PROV MALUKU UTARA,,,,,,,,,,106.24,106.41,112.64
PROV NUSA TENGGARA BARAT,,,,,,,,,,105.82,105.81,111.49
PROV NUSA TENGGARA TIMUR,,,,,,,,,,106.0,106.5,110.14
PROV PAPUA,,,,,,,,,,103.09,103.93,108.02
PROV PAPUA BARAT,,,,,,,,,,106.08,103.98,110.04
PROV PAPUA BARAT DAYA,,,,,,,,,,103.44,102.93,107.21
PROV PAPUA PEGUNUNGAN,,,,,,,,,,106.65,115.17,115.9
PROV PAPUA SELATAN,,,,,,,,,,106.7,107.03,112.92
PROV PAPUA TENGAH,,,,,,,,,,106.34,108.56,113.91
PROV RIAU,,,,,,,,,,106.4,106.42,112.06
PROV SULAWESI BARAT,,,,,,,,,,105.37,105.12,110.53
PROV SULAWESI SELATAN,,,,,,,,,,105.67,104.52,110.93
PROV SULAWESI TENGAH,,,,,,,,,,106.36,105.96,111.61
PROV SULAWESI TENGGARA,,,,,,,,,,105.62,105.39,111.09
PROV SULAWESI UTARA,,,,,,,,,,105.7,105.54,110.44
PROV SUMATERA BARAT,,,,,,,,,,106.86,106.76,111.45
PROV SUMATERA SELATAN,,,,,,,,,,105.67,106.19,110.82
PROV SUMATERA UTARA,,,,,,,,,,105.87,106.64,111.66
PURWOKERTO,116.42,120.65,125.23,129.76,131.74,103.83,105.39,107.9,114.88,,,
SAMPIT,117.11,124.26,128.49,132.27,138.62,104.67,105.58,110.98,117.23,,,
SINGARAJA,125.24,130.17,138.6,141.21,142.62,105.06,107.44,108.51,115.18,,,
SINTANG,-,-,-,-,-,109.73,111.64,115.72,121.95,,,
SUMENEP,116.32,121.13,124.63,128.11,130.71,104.03,105.52,108.24,115.69,,,
TANJUNG,116.49,124.16,128.86,130.83,134.03,106.03,107.16,110.11,115.33,,,
TANJUNG PANDAN,126.08,129.21,136.14,139.77,143.93,103.66,108.04,109.2,117.21,,,
TANJUNG SELOR,-,-,-,-,-,101.9,102.84,106.29,113.47,,,
TEMBILAHAN,122.65,127.14,131.25,135.87,138.75,103.62,106.47,108.04,113.34,,,
TIMIKA,-,-,-,-,-,104.79,107.22,108.68,114.52,,,
WAINGAPU,-,-,-,-,-,105.39,106.85,108.85,112.74,,,
WATAMPONE,115.07,118.22,123.07,129.05,132.2,103.08,104.95,107.28,113.13,,,
