Daerah,Tahun,IHK,Trend,Lag1,Lag2,Lag3,Diff1,Growth_%,RollingMean3,RollingSTD3,ExpandingMean
BANYUWANGI,2018,126.594,3,123.74,121.15,116.57,2.853999999999999,2.306449005980271,123.82799999999999,2.7230666536094947,122.0135
BANYUWANGI,2019,126.594,4,126.594,123.74,121.15,0.0,0.0,125.64266666666667,1.6477576682672266,122.92960000000001
BANYUWANGI,2020,106.679,5,126.594,126.594,123.74,-19.914999999999992,-15.731393272982919,119.95566666666666,11.497930610911384,120.22116666666666
BANYUWANGI,2021,106.679,6,106.679,126.594,126.594,0.0,0.0,113.31733333333334,11.497930610911366,118.28657142857142
BANYUWANGI,2022,106.679,7,106.679,106.679,126.594,0.0,0.0,106.679,0.0,116.835625
BANYUWANGI,2023,112.72,8,106.679,106.679,106.679,6.040999999999997,5.662782740745609,108.69266666666668,3.487772976174391,116.37833333333333
BANYUWANGI,2024,115.155,9,112.72,106.679,106.679,2.4350000000000023,2.1602200141944694,111.51799999999999,4.36397147103406,116.256
BANYUWANGI,2025,115.155,10,115.155,112.72,106.679,0.0,0.0,114.34333333333335,1.4058479054765014,116.15590909090908
BANYUWANGI,2026,115.155,11,115.155,115.155,112.72,0.0,0.0,115.155,0.0,116.07249999999999
BULUKUMBA,2018,126.594,3,126.594,126.594,124.24,0.0,0.0,126.594,0.0,126.0055
BULUKUMBA,2019,126.594,4,126.594,126.594,126.594,0.0,0.0,126.594,0.0,126.1232
BULUKUMBA,2020,106.679,5,126.594,126.594,126.594,-19.914999999999992,-15.731393272982919,119.95566666666666,11.497930610911391,122.8825
BULUKUMBA,2021,107.05,6,106.679,126.594,126.594,0.3709999999999951,0.3477722888290957,113.44099999999999,11.39234247202917,120.62071428571429
BULUKUMBA,2022,109.29,7,107.05,106.679,126.594,2.240000000000009,2.092480149462883,107.673,1.4125958374565792,119.204375
BULUKUMBA,2023,114.24,8,109.29,107.05,106.679,4.949999999999989,4.529234147680472,110.19333333333334,3.679134862074639,118.65277777777777
BULUKUMBA,2024,115.155,9,114.24,109.29,107.05,0.9150000000000063,0.8009453781512743,112.895,3.1553644797391773,118.303
BULUKUMBA,2025,115.155,10,115.155,114.24,109.29,0.0,0.0,114.84999999999998,0.5282754963082676,118.01681818181818
BULUKUMBA,2026,115.155,11,115.155,115.155,114.24,0.0,0.0,115.155,0.0,117.77833333333332
BUNGO,2018,126.594,3,125.34,121.76,116.86,1.2539999999999907,1.000478697941598,124.56466666666665,2.5085344991315663,122.6385
BUNGO,2019,126.594,4,126.594,125.34,121.76,0.0,0.0,126.176,0.7239972375637486,123.42960000000001
BUNGO,2020,106.679,5,126.594,126.594,125.34,-19.914999999999992,-15.731393272982919,119.95566666666666,11.497930610911387,120.63783333333333
BUNGO,2021,106.679,6,106.679,126.594,126.594,0.0,0.0,113.31733333333334,11.49793061091138,118.64371428571428
BUNGO,2022,108.77,7,106.679,106.679,126.594,2.090999999999994,1.9600858650718367,107.37599999999999,1.2072394128753239,117.4095
BUNGO,2023,115.25,8,108.77,106.679,106.679,6.480000000000004,5.9575250528638435,110.233,4.468868648774504,117.16955555555556
BUNGO,2024,115.155,9,115.25,108.77,106.679,-0.09499999999999886,-0.08242950108460212,113.05833333333334,3.7141093593663985,116.9681
BUNGO,2025,115.155,10,115.155,115.25,108.77,0.0,0.0,115.18666666666667,0.05484827557106862,116.80327272727273
BUNGO,2026,115.155,11,115.155,115.155,115.25,0.0,0.0,115.155,0.0,116.66591666666666
CILACAP,2018,126.594,3,126.594,125.18,120.73,0.0,0.0,126.12266666666666,0.816373280634097,124.7745
CILACAP,2019,126.594,4,126.594,126.594,125.18,0.0,0.0,126.594,0.0,125.1384
CILACAP,2020,106.679,5,126.594,126.594,126.594,-19.914999999999992,-15.731393272982919,119.95566666666666,11.49793061091139,122.06183333333333
CILACAP,2021,106.679,6,106.679,126.594,126.594,0.0,0.0,113.31733333333334,11.497930610911382,119.86428571428571
CILACAP,2022,106.99,7,106.679,106.679,126.594,0.31099999999999284,0.29152879198341974,106.78266666666666,0.17955593371679052,118.255
CILACAP,2023,114.26,8,106.99,106.679,106.679,7.27000000000001,6.795027572670342,109.30966666666667,4.289933604769775,117.8111111111111
CILACAP,2024,115.155,9,114.26,106.99,106.679,0.894999999999996,0.7833012427796326,112.13499999999999,4.4781162334177695,117.54549999999999
CILACAP,2025,115.155,10,115.155,114.26,106.99,0.0,0.0,114.85666666666667,0.5167284909245305,117.3281818181818
CILACAP,2026,115.155,11,115.155,115.155,114.26,0.0,0.0,115.155,0.0,117.14708333333334
DILI,2018,115.155,3,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
DILI,2019,115.155,4,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
DILI,2020,115.155,5,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
DILI,2021,115.155,6,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
DILI,2022,115.155,7,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
DILI,2023,115.155,8,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
DILI,2024,115.155,9,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
DILI,2025,115.155,10,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
DILI,2026,115.155,11,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
DKI JAKARTA,2018,126.594,3,126.594,123.57,119.2,0.0,0.0,125.586,1.7459072140294432,123.98949999999999
DKI JAKARTA,2019,126.594,4,126.594,126.594,123.57,0.0,0.0,126.594,0.0,124.5104
DKI JAKARTA,2020,106.679,5,126.594,126.594,126.594,-19.914999999999992,-15.731393272982919,119.95566666666667,11.497930610911393,121.5385
DKI JAKARTA,2021,106.679,6,106.679,126.594,126.594,0.0,0.0,113.31733333333334,11.497930610911386,119.41571428571429
DKI JAKARTA,2022,108.02,7,106.679,106.679,126.594,1.340999999999994,1.257042154500887,107.12600000000002,0.7742267109830726,117.99125
DKI JAKARTA,2023,112.42,8,108.02,106.679,106.679,4.400000000000006,4.073319755600813,109.03966666666666,3.0032582861507437,117.3722222222222
DKI JAKARTA,2024,115.155,9,112.42,108.02,106.679,2.7349999999999994,2.432841131471264,111.86500000000001,3.5997326289600933,117.1505
DKI JAKARTA,2025,115.155,10,115.155,112.42,108.02,0.0,0.0,114.24333333333334,1.579052986233651,116.96909090909092
DKI JAKARTA,2026,115.155,11,115.155,115.155,112.42,0.0,0.0,115.155,0.0,116.81791666666668
INDONESIA,2018,126.594,3,126.594,123.51,118.28,0.0,0.0,125.56599999999999,1.7805482301807756,123.7445
INDONESIA,2019,126.594,4,126.594,126.594,123.51,0.0,0.0,126.594,0.0,124.3144
INDONESIA,2020,106.679,5,126.594,126.594,126.594,-19.914999999999992,-15.731393272982919,119.95566666666667,11.497930610911387,121.37516666666666
INDONESIA,2021,106.679,6,106.679,126.594,126.594,0.0,0.0,113.31733333333334,11.497930610911379,119.27571428571427
INDONESIA,2022,108.24,7,106.679,106.679,126.594,1.5609999999999928,1.4632683096017063,107.19933333333334,0.9012437702047398,117.89625
INDONESIA,2023,114.16,8,108.24,106.679,106.679,5.920000000000002,5.469327420546932,109.69299999999998,3.9464853984272557,117.4811111111111
INDONESIA,2024,106.679,9,114.16,108.24,106.679,-7.4809999999999945,-6.553083391730896,109.693,3.9464853984272557,116.40090000000001
INDONESIA,2025,106.679,10,106.679,114.16,108.24,0.0,0.0,109.17266666666667,4.319157363807536,115.51709090909092
INDONESIA,2026,110.5,11,106.679,106.679,114.16,3.820999999999998,3.5817733574555533,107.95266666666667,2.2060553785734593,115.099
JEMBER,2018,126.594,3,124.62,120.91,116.61,1.9739999999999895,1.5840154068367696,124.04133333333333,2.8858456877202343,122.1835
JEMBER,2019,126.594,4,126.594,124.62,120.91,0.0,0.0,125.93599999999999,1.1396894313803827,123.06559999999999
JEMBER,2020,106.679,5,126.594,126.594,124.62,-19.914999999999992,-15.731393272982919,119.95566666666667,11.497930610911398,120.33449999999999
JEMBER,2021,106.679,6,106.679,126.594,126.594,0.0,0.0,113.31733333333334,11.497930610911391,118.38371428571429
JEMBER,2022,108.25,7,106.679,106.679,126.594,1.570999999999998,1.4726422257426375,107.20266666666667,0.9070172728967838,117.117
JEMBER,2023,116.05,8,108.25,106.679,106.679,7.799999999999997,7.205542725173197,110.32633333333332,5.018693090171303,116.99844444444443
JEMBER,2024,115.155,9,116.05,108.25,106.679,-0.894999999999996,-0.7712193020249836,113.15166666666669,4.268490170228029,116.81410000000001
JEMBER,2025,115.155,10,115.155,116.05,108.25,0.0,0.0,115.45333333333333,0.5167284909247399,116.66327272727273
JEMBER,2026,115.155,11,115.155,115.155,116.05,0.0,0.0,115.155,0.0,116.53758333333333
KAB ACEH TAMIANG,2018,115.155,3,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB ACEH TAMIANG,2019,115.155,4,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB ACEH TAMIANG,2020,115.155,5,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB ACEH TAMIANG,2021,115.155,6,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB ACEH TAMIANG,2022,115.155,7,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB ACEH TAMIANG,2023,115.155,8,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB ACEH TAMIANG,2024,115.155,9,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB ACEH TAMIANG,2025,115.155,10,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB ACEH TAMIANG,2026,115.155,11,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB ACEH TENGAH,2018,115.155,3,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB ACEH TENGAH,2019,115.155,4,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB ACEH TENGAH,2020,115.155,5,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB ACEH TENGAH,2021,115.155,6,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB ACEH TENGAH,2022,115.155,7,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB ACEH TENGAH,2023,115.155,8,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB ACEH TENGAH,2024,115.155,9,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB ACEH TENGAH,2025,115.155,10,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB ACEH TENGAH,2026,115.155,11,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BADUNG,2018,115.155,3,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BADUNG,2019,115.155,4,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BADUNG,2020,115.155,5,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BADUNG,2021,115.155,6,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BADUNG,2022,115.155,7,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BADUNG,2023,115.155,8,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BADUNG,2024,115.155,9,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BADUNG,2025,115.155,10,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BADUNG,2026,115.155,11,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BANDUNG,2018,115.155,3,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BANDUNG,2019,115.155,4,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BANDUNG,2020,115.155,5,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BANDUNG,2021,115.155,6,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BANDUNG,2022,115.155,7,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BANDUNG,2023,115.155,8,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BANDUNG,2024,115.155,9,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BANDUNG,2025,115.155,10,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BANDUNG,2026,115.155,11,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BANGKA BARAT,2018,115.155,3,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BANGKA BARAT,2019,115.155,4,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BANGKA BARAT,2020,115.155,5,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BANGKA BARAT,2021,115.155,6,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BANGKA BARAT,2022,115.155,7,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BANGKA BARAT,2023,115.155,8,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BANGKA BARAT,2024,115.155,9,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BANGKA BARAT,2025,115.155,10,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BANGKA BARAT,2026,115.155,11,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BELITUNG TIMUR,2018,115.155,3,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BELITUNG TIMUR,2019,115.155,4,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BELITUNG TIMUR,2020,115.155,5,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BELITUNG TIMUR,2021,115.155,6,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BELITUNG TIMUR,2022,115.155,7,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BELITUNG TIMUR,2023,115.155,8,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BELITUNG TIMUR,2024,115.155,9,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BELITUNG TIMUR,2025,115.155,10,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BELITUNG TIMUR,2026,115.155,11,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BERAU,2018,115.155,3,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BERAU,2019,115.155,4,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BERAU,2020,115.155,5,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BERAU,2021,115.155,6,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BERAU,2022,115.155,7,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BERAU,2023,115.155,8,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BERAU,2024,115.155,9,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BERAU,2025,115.155,10,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BERAU,2026,115.155,11,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BOJONEGORO,2018,115.155,3,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BOJONEGORO,2019,115.155,4,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BOJONEGORO,2020,115.155,5,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BOJONEGORO,2021,115.155,6,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BOJONEGORO,2022,115.155,7,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BOJONEGORO,2023,115.155,8,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BOJONEGORO,2024,115.155,9,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BOJONEGORO,2025,115.155,10,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB BOJONEGORO,2026,115.155,11,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB DELI SERDANG,2018,115.155,3,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
KAB DELI SERDANG,2019,115.155,4,115.155,115.155,115.155,0.0,0.0,115.155,0.0,115.155
