age,2018_A/E_LK,2018_A/E_PR,2019_A/E_LK,2019_A/E_PR,2020_A/E_LK,2020_A/E_PR,2021_A/E_LK,2021_A/E_PR,2022_A/E_LK,2022_A/E_PR,ae_avg_male,ae_avg_female
0,2.35,2.1,2.49,2.43,2.76,2.8,2.41,2.42,2.68,2.76,2.538,2.502
1,1.19,1.17,1.19,1.25,1.03,1.11,0.73,0.82,0.76,0.9,0.98,1.05
2,1.67,1.59,1.3,1.36,1.29,1.24,1.0,0.97,0.85,0.91,1.222,1.214
3,2.08,2.21,1.63,1.73,1.3,1.38,1.17,1.1,1.25,1.25,1.486,1.534
4,2.21,2.13,1.91,1.91,1.53,1.55,1.15,1.07,1.54,1.66,1.668,1.664
5,1.85,1.97,1.48,1.49,1.25,1.3,0.97,1.02,1.28,1.4,1.366,1.436
6,1.58,1.58,1.31,1.34,1.04,1.07,0.99,0.95,1.34,1.41,1.252,1.27
7,1.43,1.48,1.22,1.15,1.03,0.99,0.83,0.87,1.35,1.44,1.172,1.186
8,1.41,1.38,1.23,1.35,0.99,1.05,0.92,0.87,1.52,1.59,1.214,1.248
9,1.19,1.22,1.22,1.12,0.96,0.97,0.78,0.75,1.37,1.51,1.104,1.114
10,1.16,1.12,1.16,1.11,1.04,0.96,0.84,0.8,1.36,1.33,1.112,1.064
11,1.14,1.24,1.02,1.09,0.95,0.95,0.83,0.85,1.45,1.46,1.078,1.118
12,1.27,1.25,1.2,1.18,0.95,0.97,0.85,0.88,1.55,1.63,1.164,1.182
13,1.22,1.18,1.14,1.09,0.99,1.0,0.74,0.76,1.41,1.53,1.1,1.112
14,1.18,1.13,1.18,1.17,1.04,1.04,0.81,0.85,1.2,1.31,1.082,1.1
15,1.27,1.21,1.11,1.12,1.06,1.01,0.82,0.8,1.39,1.43,1.13,1.114
16,1.39,1.24,1.26,1.24,1.05,1.01,0.92,0.96,1.34,1.44,1.192,1.178
17,1.31,1.29,1.15,1.13,1.01,0.96,0.91,0.85,1.27,1.33,1.13,1.112
18,1.16,1.23,1.24,1.18,0.99,1.02,0.83,0.91,1.18,1.27,1.08,1.122
19,1.27,1.23,1.13,1.01,1.09,1.05,0.83,0.87,1.24,1.32,1.112,1.096
20,1.46,1.46,1.18,1.2,0.96,0.97,1.0,1.01,1.35,1.33,1.19,1.194
21,1.31,1.3,1.11,1.18,0.92,0.87,0.79,0.85,1.29,1.29,1.084,1.098
22,1.23,1.23,1.13,1.25,0.99,0.98,0.84,0.88,1.14,1.08,1.066,1.084
23,1.28,1.28,1.06,1.1,0.96,0.93,0.95,0.95,1.19,1.16,1.088,1.084
24,1.35,1.38,1.24,1.27,0.94,0.97,1.02,0.99,1.4,1.32,1.19,1.186
25,1.25,1.32,1.18,1.15,0.92,0.96,0.85,0.91,1.21,1.13,1.082,1.094
26,1.14,1.14,1.16,1.18,0.94,0.91,0.95,0.99,1.1,1.03,1.058,1.05
27,1.28,1.29,1.01,1.11,1.0,0.93,0.96,1.01,1.21,1.14,1.092,1.096
28,1.36,1.37,1.27,1.33,0.92,0.91,1.05,1.05,1.31,1.22,1.182,1.176
29,1.25,1.18,1.11,1.2,1.02,0.98,0.89,0.9,1.19,1.18,1.092,1.088
30,1.2,1.17,1.09,1.18,0.95,0.91,1.03,1.05,1.09,1.01,1.072,1.064
31,1.25,1.21,1.1,1.16,0.98,0.95,1.0,1.05,1.21,1.18,1.108,1.11
32,1.4,1.31,1.21,1.29,1.01,0.98,1.07,1.09,1.29,1.2,1.196,1.174
33,1.22,1.19,1.19,1.23,1.0,0.96,0.96,1.01,1.12,1.08,1.098,1.094
34,1.13,1.08,1.12,1.21,1.04,1.01,1.05,1.1,1.07,1.03,1.082,1.086
35,1.33,1.22,1.07,1.1,0.97,0.95,1.06,1.11,1.14,1.12,1.114,1.1
36,1.27,1.15,1.33,1.4,1.03,1.0,1.13,1.14,1.22,1.2,1.196,1.178
37,1.32,1.23,1.07,1.08,1.09,1.06,0.99,1.04,1.07,1.1,1.108,1.102
38,1.1,1.03,1.23,1.29,0.98,0.88,1.17,1.22,0.98,0.99,1.092,1.082
39,1.21,1.11,1.03,1.07,1.07,1.03,1.03,1.05,1.1,1.16,1.088,1.084
40,1.29,1.22,1.21,1.26,1.02,0.94,1.31,1.35,1.04,1.05,1.174,1.164
41,1.16,1.15,1.14,1.16,1.0,0.96,1.04,1.0,1.1,1.11,1.088,1.076
42,1.14,1.12,1.13,1.15,1.01,0.98,1.16,1.15,0.92,0.95,1.072,1.07
43,1.07,1.05,1.09,1.13,1.0,0.99,1.2,1.18,1.0,1.02,1.072,1.074
44,1.24,1.22,1.16,1.18,1.08,1.04,1.28,1.29,1.1,1.12,1.172,1.17
45,1.21,1.15,1.16,1.19,0.96,0.91,1.14,1.16,1.02,1.03,1.098,1.088
46,0.98,0.94,1.17,1.17,1.05,0.99,1.14,1.12,0.95,1.0,1.058,1.044
47,1.26,1.24,0.96,0.95,1.04,1.01,1.24,1.21,0.93,0.99,1.086,1.08
48,1.19,1.16,1.35,1.34,0.97,0.89,1.34,1.36,1.06,1.14,1.182,1.178
49,1.13,1.14,1.11,1.11,1.16,1.12,1.03,1.0,1.0,1.07,1.086,1.088
50,1.02,0.98,1.14,1.12,0.97,0.95,1.34,1.3,0.8,0.84,1.054,1.038
51,1.11,1.07,0.99,1.02,1.03,0.99,1.14,1.15,1.03,1.12,1.06,1.07
52,1.39,1.42,1.19,1.16,1.0,0.96,1.3,1.29,0.97,1.07,1.17,1.18
53,0.96,0.92,1.36,1.34,1.0,0.93,1.07,1.05,0.93,1.03,1.064,1.054
54,1.07,1.02,0.98,0.96,1.19,1.17,1.19,1.16,0.85,0.92,1.056,1.046
55,1.1,1.06,1.08,1.07,0.87,0.82,1.42,1.43,0.93,1.0,1.08,1.076
56,1.05,1.02,1.23,1.21,1.04,1.02,1.12,1.11,1.2,1.36,1.128,1.144
57,1.37,1.35,1.02,0.97,1.01,0.94,1.19,1.18,0.84,0.92,1.086,1.072
58,0.9,0.84,1.41,1.42,0.89,0.86,1.2,1.18,0.93,1.02,1.066,1.064
59,1.18,1.13,0.94,0.87,1.2,1.21,1.07,1.08,0.99,1.06,1.076,1.07
60,1.15,1.09,1.3,1.25,0.85,0.79,1.51,1.57,0.95,1.04,1.152,1.148
61,1.05,1.04,1.07,1.03,1.04,1.0,0.9,0.87,1.22,1.4,1.056,1.068
62,1.1,1.06,1.08,1.07,0.94,0.87,1.22,1.22,0.83,0.88,1.034,1.02
63,1.03,0.94,1.09,1.1,0.93,0.89,1.11,1.07,1.05,1.17,1.042,1.034
64,1.13,1.12,1.11,1.04,1.03,1.0,1.17,1.18,1.05,1.14,1.098,1.096
65,1.1,1.02,1.08,1.07,0.89,0.81,1.13,1.1,0.98,1.11,1.036,1.022
66,0.9,0.84,1.12,1.08,0.92,0.89,1.06,0.99,1.03,1.15,1.006,0.99
67,1.25,1.36,0.92,0.92,0.95,0.88,1.12,1.08,1.03,1.07,1.054,1.062
68,0.89,0.84,1.4,1.55,0.83,0.8,1.24,1.17,1.11,1.25,1.094,1.122
69,1.16,1.15,0.84,0.82,1.07,1.18,0.89,0.86,1.1,1.19,1.012,1.04
70,0.93,0.91,1.17,1.26,0.69,0.64,1.28,1.35,0.89,1.01,0.992,1.034
71,1.04,1.04,0.95,0.98,0.95,0.96,0.82,0.75,1.31,1.57,1.014,1.06
72,1.43,1.42,1.13,1.17,0.82,0.79,1.25,1.22,0.96,1.03,1.118,1.126
73,0.76,0.71,1.42,1.53,0.84,0.82,0.88,0.85,1.18,1.35,1.016,1.052
74,1.18,1.18,0.8,0.79,1.09,1.07,1.01,0.97,0.99,1.11,1.014,1.024
75,1.2,1.12,1.22,1.31,0.6,0.56,1.29,1.23,1.11,1.25,1.084,1.094
76,0.86,0.88,1.34,1.31,0.98,0.98,0.79,0.71,1.65,1.8,1.124,1.136
77,1.45,1.5,0.87,0.95,0.95,0.88,1.13,1.06,0.91,0.96,1.062,1.07
78,0.71,0.65,1.54,1.78,0.63,0.64,1.15,1.0,1.31,1.47,1.068,1.108
79,1.08,1.11,0.79,0.76,1.08,1.1,0.78,0.75,1.4,1.43,1.026,1.03
80,0.94,0.98,1.21,1.34,0.53,0.5,1.35,1.34,1.03,1.15,1.012,1.062
81,0.94,0.97,0.97,1.05,0.79,0.81,0.59,0.52,1.73,1.99,1.004,1.068
82,1.0,1.0,0.99,1.16,0.63,0.67,0.92,0.89,0.85,0.91,0.878,0.926
83,0.62,0.63,1.15,1.33,0.62,0.69,0.73,0.72,1.2,1.37,0.864,0.948
84,0.88,0.93,0.72,0.82,0.71,0.81,0.76,0.8,1.09,1.19,0.832,0.91
85,0.71,0.79,0.96,1.14,0.44,0.47,0.72,0.82,1.06,1.19,0.778,0.882
86,0.54,0.6,0.8,1.01,0.67,0.76,0.43,0.46,1.11,1.34,0.71,0.834
87,0.9,1.02,0.6,0.79,0.51,0.61,0.59,0.64,0.76,0.85,0.672,0.782
88,0.37,0.39,0.97,1.25,0.44,0.51,0.49,0.59,0.99,1.12,0.652,0.772
89,0.58,0.67,0.41,0.48,0.67,0.79,0.33,0.39,0.83,0.98,0.564,0.662
90,0.42,0.48,0.64,0.87,0.29,0.29,0.55,0.61,0.63,0.74,0.506,0.598
91,0.35,0.45,0.48,0.62,0.63,0.59,0.22,0.23,0.96,1.19,0.528,0.616
92,0.39,0.55,0.43,0.59,0.53,0.45,0.35,0.42,0.43,0.51,0.426,0.504
93,0.24,0.27,0.45,0.69,0.49,0.4,0.23,0.27,0.6,0.72,0.402,0.47
94,0.3,0.38,0.3,0.37,0.61,0.46,0.21,0.25,0.44,0.53,0.372,0.398
95,0.2,0.24,0.35,0.48,0.44,0.25,0.22,0.26,0.4,0.52,0.322,0.35
96,0.21,0.27,0.26,0.34,0.54,0.36,0.14,0.14,0.51,0.61,0.332,0.344
97,0.2,0.3,0.22,0.32,0.33,0.18,0.14,0.18,0.35,0.35,0.248,0.266
98,0.09,0.12,0.28,0.33,0.2,0.12,0.11,0.12,0.39,0.42,0.214,0.222
99,0.18,0.22,0.12,0.16,0.14,0.14,0.11,0.12,0.31,0.31,0.172,0.19
