year_month,ob10y_yield_pct,ob3y_yield_pct
2015-01,7.041,
2015-02,6.902,
2015-03,7.411,
2015-04,7.692,
2015-05,8.166,
2015-06,8.38,
2015-07,8.603,
2015-08,8.786,
2015-09,9.624,
2015-10,8.803,
2015-11,8.605,
2015-12,8.889,
2016-01,8.277,
2016-02,8.249,
2016-03,7.713,
2016-04,7.715,
2016-05,7.865,
2016-06,7.462,
2016-07,6.944,
2016-08,7.138,
2016-09,7.069,
2016-10,7.259,
2016-11,8.184,
2016-12,7.941,
2017-01,7.638,
2017-02,7.542,
2017-03,7.029,
2017-04,7.031,
2017-05,6.951,
2017-06,6.811,
2017-07,6.948,
2017-08,6.683,
2017-09,6.496,
2017-10,6.805,
2017-11,6.511,
2017-12,6.307,
2018-01,6.318,
2018-02,6.595,
2018-03,6.669,
2018-04,6.906,
2018-05,7.045,
2018-06,7.803,
2018-07,7.755,
2018-08,8.127,
2018-09,8.208,
2018-10,8.601,
2018-11,7.866,
2018-12,7.982,
2019-01,8.051,
2019-02,7.801,
2019-03,7.66,
2019-04,7.801,
2019-05,8.023,
2019-06,7.369,
2019-07,7.378,
2019-08,7.354,
2019-09,7.296,
2019-10,7.111,
2019-11,7.179,
2019-12,7.194,
2020-01,6.733,
2020-02,6.965,
2020-03,7.998,
2020-04,8.016,
2020-05,7.434,
2020-06,7.312,
2020-07,6.909,
2020-08,6.949,
2020-09,7.028,
2020-10,6.691,
2020-11,6.255,
2020-12,5.984,
2021-01,6.311,
2021-02,6.67,
2021-03,6.886,
2021-04,6.561,
2021-05,6.529,
2021-06,6.692,
2021-07,6.384,
2021-08,6.155,
2021-09,6.421,
2021-10,6.25,
2021-11,6.329,
2021-12,6.445,
2022-01,6.538,
2022-02,6.607,
2022-03,6.85,
2022-04,7.095,
2022-05,7.145,
2022-06,7.356,
2022-07,7.298,
2022-08,7.233,
2022-09,7.495,
2022-10,7.651,
2022-11,7.047,
2022-12,7.036,
2023-01,6.804,
2023-02,6.99,
2023-03,6.901,
2023-04,6.613,
2023-05,6.467,
2023-06,6.339,
2023-07,6.338,
2023-08,6.461,
2023-09,7.008,
2023-10,7.168,
2023-11,6.7,
2023-12,6.562,
2024-01,6.685,
2024-02,6.704,
2024-03,6.791,
2024-04,7.348,7.173
2024-05,7.037,6.795
2024-06,7.151,6.749
2024-07,7.002,6.696
2024-08,6.727,6.409
2024-09,6.531,6.199
2024-10,6.902,6.581
2024-11,6.965,6.325
2024-12,7.137,6.622
2025-01,7.102,6.971
2025-02,7.019,6.903
2025-03,7.101,6.943
2025-04,6.943,6.731
2025-05,6.83,6.756
2025-06,6.63,6.22
2025-07,6.58,6.106
2025-08,6.322,6.05
2025-09,6.361,5.287
2025-10,6.059,5.038
2025-11,6.314,5.302
2025-12,6.154,5.235
