age,exposure_male,dx_male,expectedlife_male,qx_male,px_male,exposure_female,dx_female,expectedlife_female,qx_female,px_female
0,,100.111,73.74,0.009791,0.990209,,70.861,78.37,0.00788,0.99212
1,,11.879,73.47,0.002526,0.997474,,9.232,77.99,0.002096,0.997904
2,,7.073,72.65,0.001079,0.998921,,5.051,77.15,0.0009,0.9991
3,,6.121,71.73,0.000701,0.999299,,4.438,76.22,0.00058,0.99942
4,,6.551,70.78,0.000598,0.999402,,4.551,75.27,0.000489,0.999511
5,,5.69,69.82,0.000578,0.999422,,4.153,74.3,0.00047,0.99953
6,,5.614,68.86,0.000575,0.999425,,3.993,73.34,0.000469,0.999531
7,,5.607,67.9,0.000566,0.999434,,4.055,72.37,0.000465,0.999535
8,,6.02,66.94,0.000547,0.999453,,4.5,71.41,0.000454,0.999546
9,,5.458,65.98,0.000523,0.999477,,4.08,70.44,0.00044,0.99956
10,,5.512,65.01,0.000507,0.999493,,3.975,69.47,0.000432,0.999568
11,,5.421,64.05,0.000504,0.999496,,4.32,68.5,0.000437,0.999563
12,,6.047,63.08,0.000517,0.999483,,4.795,67.53,0.000452,0.999548
13,,5.995,62.11,0.000543,0.999457,,4.752,66.56,0.000473,0.999527
14,,6.286,61.14,0.000578,0.999422,,4.975,65.59,0.000498,0.999502
15,,7.123,60.18,0.00062,0.99938,,5.38,64.63,0.000527,0.999473
16,,7.962,59.22,0.000661,0.999339,,6.057,63.66,0.000558,0.999442
17,,7.705,58.26,0.000697,0.999303,,6.028,62.7,0.00059,0.99941
18,,8.142,57.3,0.000734,0.999266,,6.687,61.73,0.000628,0.999372
19,,8.984,56.34,0.000776,0.999224,,7.139,60.77,0.000673,0.999327
20,,10.012,55.38,0.000822,0.999178,,8.233,59.81,0.00072,0.99928
21,,9.48,54.43,0.000865,0.999135,,8.008,58.85,0.000767,0.999233
22,,9.88,53.47,0.000913,0.999087,,8.462,57.9,0.000815,0.999185
23,,10.492,52.52,0.000967,0.999033,,8.886,56.95,0.000866,0.999134
24,,11.886,51.57,0.001023,0.998977,,10.17,56.0,0.000918,0.999082
25,,11.292,50.63,0.001076,0.998924,,9.877,55.05,0.000967,0.999033
26,,11.573,49.68,0.001132,0.998868,,10.046,54.1,0.001017,0.998983
27,,12.327,48.74,0.001196,0.998804,,10.752,53.16,0.001073,0.998927
28,,13.828,47.8,0.001263,0.998737,,11.949,52.21,0.001129,0.998871
29,,13.247,46.86,0.001327,0.998673,,11.526,51.27,0.001181,0.998819
30,,13.387,45.92,0.001393,0.998607,,11.559,50.33,0.001234,0.998766
31,,14.346,44.98,0.001468,0.998532,,12.41,49.4,0.001292,0.998708
32,,16.436,44.05,0.001549,0.998451,,13.899,48.46,0.001354,0.998646
33,,15.853,43.12,0.001632,0.998368,,13.519,47.53,0.001417,0.998583
34,,16.564,42.19,0.001728,0.998272,,14.182,46.59,0.001489,0.998511
35,,18.281,41.26,0.001846,0.998154,,15.314,45.66,0.001578,0.998422
36,,21.678,40.34,0.001981,0.998019,,18.074,44.73,0.001682,0.998318
37,,21.217,39.42,0.002123,0.997877,,17.868,43.81,0.001793,0.998207
38,,22.613,38.5,0.002282,0.997718,,18.772,42.89,0.001917,0.998083
39,,24.247,37.59,0.002468,0.997532,,20.318,41.97,0.002065,0.997935
40,,27.905,36.68,0.002681,0.997319,,23.027,41.06,0.002233,0.997767
41,,26.993,35.78,0.002911,0.997089,,22.177,40.15,0.002418,0.997582
42,,28.635,34.89,0.003171,0.996829,,23.832,39.25,0.002631,0.997369
43,,30.604,34.0,0.003475,0.996525,,25.692,38.35,0.002881,0.997119
44,,35.62,33.12,0.003816,0.996184,,29.815,37.46,0.003161,0.996839
45,,35.736,32.24,0.004182,0.995818,,29.581,36.58,0.003458,0.996542
46,,37.985,31.38,0.00459,0.99541,,31.438,35.71,0.003791,0.996209
47,,41.283,30.52,0.005064,0.994936,,34.173,34.84,0.004176,0.995824
48,,49.068,29.68,0.005611,0.994389,,40.168,33.99,0.00461,0.99539
49,,49.994,28.85,0.006223,0.993777,,40.657,33.15,0.005079,0.994921
50,,52.737,28.03,0.006927,0.993073,,41.776,32.32,0.005598,0.994402
51,,56.877,27.22,0.007738,0.992262,,45.705,31.5,0.006179,0.993821
52,,66.907,26.43,0.008626,0.991374,,53.68,30.69,0.006796,0.993204
53,,64.757,25.66,0.009534,0.990466,,50.956,29.9,0.007411,0.992589
54,,66.502,24.91,0.010457,0.989543,,52.374,29.13,0.008042,0.991958
