Sektor,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
"Pertanian, Kehutanan, dan Perikanan",1195354.0,1429297.0,1751410.0,1761849.0,2051084.0,2071202.0,1931833.0,1937650.0,2062328.0,2236045.0,2247459.0,2425085.0
Pertambangan dan Penggalian,3425991.0,4241129.0,4314074.0,4127245.0,5029621.0,5099655.0,4293907.0,4334853.0,4591764.0,4944886.0,5086094.0,4947483.0
Industri,1607667.0,2016981.0,2467629.0,2478868.0,2653268.0,2817234.0,2876185.0,2849199.0,2963061.0,3026413.0,3090532.0,3289621.0
"Penyediaan Listrik, Gas, Uap/Air Panas, dan Udara Dingin",2558819.0,2810096.0,4193189.0,3416517.0,3759261.0,3988936.0,4158315.0,4606191.0,4261802.0,4853131.0,5040313.0,4735035.0
"Penyediaan Air, Pengelolaan Air Limbah, Penanganan Limbah, dan Remediasi",1336172.0,2197744.0,3552848.0,2892345.0,2511849.0,2698415.0,2716611.0,2720543.0,2605373.0,2692899.0,2906210.0,2803273.0
Konstruksi,2071807.0,2171399.0,2485373.0,2628165.0,2845966.0,2979230.0,2816178.0,2986501.0,3050337.0,2945227.0,3209091.0,3347252.0
Perdagangan Besar dan Eceran,1602298.0,1743901.0,2173100.0,2160642.0,2321086.0,2434107.0,2433665.0,2516326.0,2496098.0,2544248.0,2667185.0,2850124.0
Transportasi dan Penyimpanan,2589588.0,2545167.0,3133390.0,3172077.0,3416587.0,3598904.0,3320575.0,3411270.0,3583428.0,3631764.0,3720086.0,3977182.0
Penyediaan Akomodasi dan Penyediaan Makan Minum,1552505.0,1803323.0,2101853.0,2098481.0,2279477.0,2287590.0,2059825.0,2121425.0,2145400.0,2240980.0,2424447.0,2588787.0
Aktivitas Penerbitan dan Telekomunikasi,4045308.0,3214073.0,4388423.0,4059364.0,4047803.0,4075263.0,4047396.0,4861050.0,4365911.0,4736936.0,4131648.0,4752543.0
Aktivitas Keuangan dan Asuransi,3164760.0,3219839.0,4085723.0,4134866.0,4107387.0,4151175.0,4144629.0,4680539.0,4811289.0,5154872.0,4878087.0,5053928.0
Aktivitas Real Estat,2568532.0,3502666.0,3244605.0,3073709.0,3383495.0,3470621.0,3390567.0,4202230.0,4824840.0,4313920.0,4042854.0,4046989.0
"Aktivitas Profesional, Ilmiah, dan Teknis dan Aktivitas Administratif dan Penunjang Usaha",2547195.0,2624399.0,3156834.0,3127060.0,3276406.0,3391160.0,3249741.0,3508000.0,3553175.0,3725742.0,3965419.0,3972415.0
"Administrasi Pemerintahan dan Pertahanan, serta Jaminan Sosial Wajib",3133679.0,3155748.0,3913892.0,3808741.0,3756932.0,3980906.0,4026068.0,3955514.0,3880060.0,3670645.0,3758174.0,4023211.0
Pendidikan,2267414.0,2309992.0,2920144.0,2710224.0,2672860.0,2744687.0,2692517.0,2517463.0,2473647.0,2843321.0,2794131.0,2924306.0
Aktivitas Kesehatan Manusia dan Aktivitas Sosial,2358443.0,2439348.0,2937889.0,2968612.0,3321344.0,3354439.0,3379436.0,3369762.0,3556947.0,3350737.0,3415963.0,3751936.0
"Kesenian, Aktivitas Jasa Lainnya, Aktivitas Rumah Tangga, dan Aktivitas Badan Internasional",982138.0,1320976.0,1566999.0,1435939.0,1678897.0,1707745.0,1671870.0,1725514.0,1790306.0,1744402.0,1808930.0,2002938.0
Rata-rata,1981725.0,2180577.0,2702590.0,2654070.0,2791517.0,2917497.0,2860630.0,2892537.0,2944541.0,3040719.0,3094818.0,3287675.0
