sektor,growth_normal,growth_with_covid,year_start,year_end
"Pertanian, Kehutanan, dan Perikanan",0.051,0.0664,2015,2026
Pertambangan dan Penggalian,0.0239,0.034,2015,2026
Industri,0.0513,0.0673,2015,2026
"Penyediaan Listrik, Gas, Uap/Air Panas, dan Udara Dingin",0.0532,0.0575,2015,2026
"Penyediaan Air, Pengelolaan Air Limbah, Penanganan Limbah, dan Remediasi",0.0301,0.0697,2015,2026
Konstruksi,0.0389,0.0446,2015,2026
Perdagangan Besar dan Eceran,0.0438,0.0538,2015,2026
Transportasi dan Penyimpanan,0.0349,0.0398,2015,2026
Penyediaan Akomodasi dan Penyediaan Makan Minum,0.0308,0.0476,2015,2026
Aktivitas Penerbitan dan Telekomunikasi,0.0194,0.0148,2015,2026
Aktivitas Keuangan dan Asuransi,0.0418,0.0435,2015,2026
Aktivitas Real Estat,0.04,0.0422,2015,2026
"Aktivitas Profesional, Ilmiah, dan Teknis dan Aktivitas Administratif dan Penunjang Usaha",0.0379,0.0412,2015,2026
"Administrasi Pemerintahan dan Pertahanan, serta Jaminan Sosial Wajib",0.0146,0.023,2015,2026
Pendidikan,0.013,0.0234,2015,2026
Aktivitas Kesehatan Manusia dan Aktivitas Sosial,0.0357,0.0431,2015,2026
"Kesenian, Aktivitas Jasa Lainnya, Aktivitas Rumah Tangga, dan Aktivitas Badan Internasional",0.0452,0.0669,2015,2026
Rata-rata,0.0363,0.0471,2015,2026
