DAERAH,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015,01/2016,02/2016,03/2016,04/2016,05/2016,06/2016,07/2016,08/2016,09/2016,10/2016,11/2016,12/2016,01/2017,02/2017,03/2017,04/2017,05/2017,06/2017,07/2017,08/2017,09/2017,10/2017,11/2017,12/2017,01/2018,02/2018,03/2018,04/2018,05/2018,06/2018,07/2018,08/2018,09/2018,10/2018,11/2018,12/2018,01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019
KAB ACEH TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MEULABOH,"120,83","117,20","113,79","112,04","113,52","115,05","117,77","114,40","113,47","113,43","114,37","116,51","118,93","119,05","117,93","118,36","119,73","119,85","120,55","120,60","123,93","125,58","125,23","126,57","129,63","129,70","125,82","121,20","120,46","120,12","120,00","120,27","120,71","122,06","126,36","130,17","128,75","127,48","128,04","124,06","126,61","127,06","130,29","130,97","128,41","126,80","127,02","129,24","131,21","127,53","129,58","130,46","136,35","142,65","143,41","141,09","144,54","144,51","141,37","140,33"
KAB ACEH TAMIANG,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,"126,58","122,94","117,76","115,72","118,26","123,17","125,84","121,96","120,57","120,18","121,35","123,56","128,30","128,87","127,50","122,85","125,51","130,18","132,39","129,07","133,11","132,29","132,79","135,62","135,22","134,52","131,98","127,95","130,19","133,41","132,70","132,71","134,44","134,35","135,54","141,03","139,40","137,17","135,32","133,94","136,51","140,46","139,00","141,61","136,77","136,47","140,18","140,33","143,74","137,21","134,48","136,29","142,93","144,90","143,20","143,40","139,61","138,38","137,72","139,49"
KOTA LHOKSEUMAWE,"125,65","117,96","113,58","114,66","116,16","119,54","120,33","118,64","119,18","120,91","122,03","126,89","128,28","127,88","126,66","125,98","125,73","126,93","126,63","128,58","134,12","135,27","136,15","145,64","145,14","139,67","132,95","128,35","131,01","132,45","132,59","136,17","137,00","136,95","137,97","145,01","145,71","143,24","141,65","139,17","141,24","145,29","146,04","145,41","140,49","141,95","142,88","146,92","147,56","144,04","139,98","142,49","144,81","145,87","145,25","142,64","140,50","142,88","141,62","144,62"
KAB LABUHANBATU,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KARO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DELI SERDANG,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SIBOLGA,"133,82","123,37","121,55","122,54","128,18","132,87","138,11","134,86","126,72","124,33","126,83","133,74","139,97","139,81","142,89","135,32","131,62","134,74","137,10","138,18","145,76","151,44","155,78","156,90","155,84","147,58","143,83","141,56","142,77","141,07","139,49","143,96","147,40","148,69","154,00","154,60","158,25","155,18","158,31","154,42","152,11","151,61","153,91","151,90","149,51","154,39","152,50","152,78","150,85","148,37","149,07","154,10","156,79","167,73","175,99","172,63","162,28","159,59","156,10","156,57"
KOTA PEMATANG SIANTAR,"124,84","119,60","118,37","117,91","122,16","127,04","125,53","124,15","122,17","122,85","123,72","128,40","130,65","128,53","130,70","128,30","130,83","131,66","131,90","134,01","135,67","138,00","141,85","144,06","145,17","142,25","142,78","140,57","139,74","137,63","138,82","142,25","144,27","144,19","144,82","146,75","148,93","145,54","145,78","147,68","147,37","146,45","148,01","147,66","145,77","148,51","147,92","149,63","149,41","146,89","148,07","153,43","156,48","160,09","159,51","155,53","148,78","148,81","148,22","149,98"
