DAERAH,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
KOTA MEULABOH,"112,94","112,03","113,61","111,62","113,39","113,07","111,67","113,45","113,75","115,11","115,29","118,94","120,66","117,30","115,27","117,04","119,17","118,36","119,31","118,78","115,74","118,13","119,57","122,39","125,06","120,69","121,79","123,50","127,78","132,94","136,26","133,80","130,58","129,47","126,85","130,58","133,14","134,23","130,21","126,53","128,19","130,22","131,56","130,54","132,31","133,24","133,86","130,43"
KOTA BANDA ACEH,"100,74","100,92","102,73","102,08","102,00","101,18","98,92","100,04","98,80","102,11","103,23","107,09","110,80","107,86","105,84","107,93","108,21","107,16","105,91","107,36","105,52","106,99","108,96","110,87","113,10","108,13","108,75","111,17","113,84","117,86","119,58","115,66","113,77","111,19","111,10","113,99","116,22","118,37","116,61","116,59","116,83","117,83","119,01","117,01","117,08","115,45","117,33","117,11"
KOTA LHOKSEUMAWE,"101,60","102,94","104,75","103,51","103,54","103,46","101,57","102,11","101,89","105,26","106,10","111,49","114,44","110,65","110,43","111,96","112,16","111,80","111,26","110,12","109,48","111,18","114,37","116,26","120,33","114,49","117,43","119,07","122,07","123,97","124,23","119,21","119,40","119,03","116,32","122,10","124,43","125,99","123,61","121,37","123,52","123,63","122,91","122,07","122,90","121,85","122,74","123,04"
KOTA SIBOLGA,"104,02","106,42","103,31","101,22","101,09","101,40","100,26","99,84","100,93","104,65","105,56","109,13","111,37","109,02","107,92","108,77","107,19","108,31","110,55","110,77","111,76","111,35","112,88","113,02","117,37","116,44","119,17","115,20","117,36","122,30","124,93","123,15","121,20","116,39","115,26","119,45","123,95","123,26","119,68","117,59","118,04","120,55","121,83","121,10","122,75","121,85","120,84","120,71"
KOTA PEMATANG SIANTAR,"104,33","104,68","103,40","102,25","103,51","103,05","100,40","100,00","100,98","102,54","104,84","109,57","112,66","110,75","109,71","109,47","109,49","110,04","109,71","109,27","109,94","108,66","110,43","111,85","114,80","114,28","115,74","116,34","118,19","122,44","121,93","118,55","117,19","114,37","113,79","119,75","122,87","121,48","119,48","118,03","119,20","121,29","121,21","119,21","119,56","118,72","119,97","121,47"
KOTA MEDAN,"101,83","102,27","101,45","100,57","101,52","101,41","100,26","99,96","99,89","101,48","102,26","104,76","106,19","104,73","104,33","103,90","103,92","103,46","104,55","104,10","104,87","104,61","105,32","106,44","109,55","108,40","110,15","109,80","111,66","116,18","115,79","113,80","111,85","109,53","108,68","114,59","117,44","115,95","114,21","112,57","113,58","114,98","115,20","114,86","115,60","115,01","116,71","118,60"
KOTA PADANGSIDIMPUAN,"102,13","101,77","102,81","102,37","103,86","103,87","102,62","101,70","100,63","102,69","104,19","107,50","108,79","108,22","106,95","108,80","108,68","107,85","108,49","109,21","109,36","109,66","110,70","110,64","113,71","112,96","115,36","115,88","118,20","121,98","123,22","121,06","118,82","116,70","115,40","117,17","120,72","121,87","120,94","119,10","120,45","121,22","122,73","121,39","123,08","122,41","121,85","122,25"
KOTA GUNUNGSITOLI,"107,42","105,25","106,77","104,03","104,92","105,43","104,96","105,92","108,80","110,46","110,74","115,93","118,90","114,37","113,15","114,31","113,21","112,11","113,56","112,89","111,99","111,82","114,23","114,54","116,31","115,55","116,74","115,36","115,10","122,82","125,95","121,09","121,25","116,30","114,58","120,46","125,07","122,02","118,80","116,67","117,05","117,12","119,25","119,52","120,44","118,95","121,44","122,67"
KOTA PADANG,"104,43","104,04","103,22","101,73","101,97","101,46","100,86","100,51","101,08","103,78","104,62","107,06","107,73","105,73","107,24","106,90","105,83","104,59","104,44","104,28","104,41","105,14","106,06","106,82","109,14","108,01","109,98","111,34","113,33","118,82","122,05","116,65","117,45","115,28","114,05","116,76","118,83","119,76","118,27","117,35","117,97","119,00","119,12","119,46","119,62","119,09","121,86","122,37"
KOTA BUKITTINGGI,"100,96","101,55","101,20","100,93","102,27","101,12","99,47","98,35","98,17","101,02","102,36","103,60","104,23","103,53","104,30","104,96","105,36","103,64","103,56","102,33","103,25","104,55","105,82","105,34","107,35","106,29","109,87","111,97","116,87","121,32","121,47","116,20","117,88","115,66","114,73","117,06","118,52","118,62","117,69","116,78","117,75","117,56","118,22","117,83","119,60","118,70","120,96","120,49"
