DAERAH,01/2024,02/2024,03/2024,04/2024,05/2024,06/2024,07/2024,08/2024,09/2024,10/2024,11/2024,12/2024,01/2025,02/2025,03/2025,04/2025,05/2025,06/2025,07/2025,08/2025,09/2025,10/2025,11/2025,12/2025,01/2026,02/2026,03/2026,04/2026
PROV ACEH,"106,90","109,23","110,62","109,95","110,10","110,05","106,92","106,70","105,62","105,04",-,-,"112,90","112,16","112,41","114,22","111,98","111,27","113,11","116,04","116,41","115,72","113,13","123,67","121,31","120,15","120,00","120,27"
PROV SUMATERA UTARA,"108,18","109,62","111,86","110,88","112,72","111,33","107,94","106,84","105,68","106,05",-,-,"114,20","113,41","112,63","113,42","111,37","110,26","112,62","117,62","119,47","117,63","115,48","121,07","117,68","117,79","117,34","118,18"
PROV SUMATERA BARAT,"108,82","113,20","115,57","112,92","115,01","115,11","110,24","109,17","106,99","106,75",-,-,"113,53","113,29","112,41","115,12","110,86","109,36","111,57","113,70","116,62","117,29","115,92","121,31","116,61","116,68","116,90","117,12"
PROV RIAU,"106,55","108,43","110,91","109,55","110,68","109,86","105,87","104,34","102,87","102,75",-,-,"110,28","108,99","109,38","111,62","107,74","106,53","108,71","111,40","115,53","113,91","112,44","116,60","114,75","114,80","114,42","114,40"
PROV JAMBI,"109,49","109,98","111,94","110,56","111,43","110,56","106,53","105,88","104,81","104,73",-,-,"111,61","111,12","111,25","112,82","109,80","109,93","112,39","112,93","115,17","113,78","113,17","115,24","114,28","115,74","117,03","116,64"
PROV SUMATERA SELATAN,"109,44","109,67","110,36","110,73","110,50","109,76","107,46","105,94","105,12","105,18",-,-,"112,11","111,02","112,59","113,26","112,07","111,92","112,32","111,98","112,38","111,95","111,97","113,40","113,07","114,33","115,25","115,04"
PROV BENGKULU,"105,77","108,72","108,97","109,10","109,21","108,85","105,54","104,28","102,80","102,15",-,-,"107,42","106,60","106,61","107,79","106,62","105,98","107,35","108,02","111,20","111,20","110,94","112,57","111,12","112,93","113,50","113,36"
PROV LAMPUNG,"110,97","112,55","113,33","112,83","112,65","111,54","110,16","109,11","107,87","108,59",-,-,"113,83","113,02","116,19","116,74","114,29","114,38","114,90","113,96","113,93","113,92","114,66","116,70","117,52","118,35","118,72","119,88"
PROV KEPULAUAN BANGKA BELITUNG,"101,57","103,13","103,39","104,09","103,04","101,37","99,63","100,15","99,26","98,77",-,-,"104,33","103,59","102,76","105,15","101,59","102,51","104,54","103,29","104,69","105,89","106,89","108,36","111,23","109,10","110,08","110,48"
PROV KEPULAUAN RIAU,"107,87","106,97","108,32","106,91","108,91","109,50","107,75","106,38","106,33","105,68",-,-,"111,94","110,63","110,29","111,09","108,58","107,83","108,30","109,30","111,50","111,21","110,75","114,58","114,38","114,84","115,39","115,16"
PROV DKI JAKARTA,"107,97","109,52","111,29","110,98","109,50","109,30","107,91","107,30","106,40","106,43",-,-,"111,64","110,69","113,04","113,26","111,26","111,85","112,31","111,27","111,68","112,13","112,41","113,90","111,87","114,36","116,03","115,61"
PROV JAWA BARAT,"108,79","110,53","112,40","111,88","110,89","110,53","110,04","109,25","107,87","107,62",-,-,"111,78","111,08","112,83","112,28","110,56","111,57","112,21","111,26","111,57","112,47","112,63","113,97","113,76","115,88","117,28","117,04"
PROV JAWA TENGAH,"109,14","111,40","113,62","113,49","112,25","110,60","109,35","108,36","107,64","108,12",-,-,"113,71","112,68","114,78","114,37","111,90","113,02","113,16","112,19","112,67","113,38","113,97","115,80","114,76","117,08","118,81","117,88"
PROV DI YOGYAKARTA,"109,99","111,57","113,20","112,22","111,78","110,27","109,36","108,47","107,31","107,56",-,-,"112,80","112,23","113,26","113,16","112,04","112,88","112,63","111,36","111,63","112,35","113,38","115,69","113,95","115,49","116,70","116,48"
PROV JAWA TIMUR,"108,83","110,97","113,28","113,40","112,06","110,21","109,58","108,57","107,52","107,91",-,-,"112,80","112,05","114,28","112,58","110,65","112,27","112,78","111,91","112,35","112,59","112,98","115,45","114,17","116,75","118,61","117,42"
PROV BANTEN,"106,29","107,93","110,12","110,31","108,08","107,40","105,90","105,20","103,67","103,55",-,-,"108,66","107,85","109,72","110,21","107,87","108,65","109,32","107,78","108,07","108,76","109,60","111,60","112,32","115,16","116,42","115,56"
PROV BALI,"107,99","110,25","113,19","114,12","112,84","110,17","109,54","108,76","108,20","108,56",-,-,"117,12","115,71","117,11","116,47","113,62","115,29","115,99","113,87","113,33","113,73","114,68","117,65","116,56","118,84","120,12","119,33"
PROV NUSA TENGGARA BARAT,"107,64","107,80","110,64","110,17","107,88","106,34","104,55","104,41","104,01","103,93",-,-,"110,58","109,27","111,49","110,51","108,04","109,72","110,15","108,10","108,40","108,54","109,23","111,44","113,60","115,18","117,39","116,22"
PROV NUSA TENGGARA TIMUR,"110,07","109,22","108,70","108,97","108,24","106,86","105,41","104,47","104,22","104,60",-,-,"111,76","113,10","111,57","111,78","110,07","109,18","111,69","110,19","108,34","107,43","108,30","110,51","114,02","114,63","115,01","115,69"
PROV KALIMANTAN BARAT,"106,52","106,63","107,78","109,36","109,94","108,63","106,84","105,75","106,35","106,17",-,-,"109,97","110,55","110,70","110,73","109,18","109,59","111,05","110,40","110,25","110,71","111,11","111,59","113,50","114,58","114,96","116,06"
PROV KALIMANTAN TENGAH,"109,13","107,31","109,18","110,93","111,68","110,65","108,03","106,10","106,05","106,63",-,-,"111,86","111,05","111,75","111,45","109,43","110,03","110,52","108,69","109,22","110,19","110,32","113,49","115,70","116,74","118,07","118,54"
PROV KALIMANTAN SELATAN,"108,75","108,57","110,31","111,28","110,60","109,37","106,95","104,95","105,40","105,25",-,-,"109,92","110,03","111,38","110,34","108,35","108,98","108,76","108,22","108,51","108,29","110,24","112,55","113,77","115,44","117,31","116,51"
PROV KALIMANTAN TIMUR,"108,57","108,99","110,78","112,27","112,49","112,00","110,31","109,13","109,47","108,34",-,-,"111,77","111,62","114,48","115,32","112,59","113,39","114,07","113,25","112,77","111,56","112,31","114,45","115,85","116,97","119,01","118,95"
