DAERAH,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015,01/2016,02/2016,03/2016,04/2016,05/2016,06/2016,07/2016,08/2016,09/2016,10/2016,11/2016,12/2016,01/2017,02/2017,03/2017,04/2017,05/2017,06/2017,07/2017,08/2017,09/2017,10/2017,11/2017,12/2017,01/2018,02/2018,03/2018,04/2018,05/2018,06/2018,07/2018,08/2018,09/2018,10/2018,11/2018,12/2018,01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019
KAB ACEH TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MEULABOH,"111,56","111,63","111,58","111,89","111,89","112,08","112,08","112,19","112,17","112,13","112,22","112,16","112,43","112,46","112,65","112,76","113,19","113,48","113,66","113,58","113,77","113,77","114,63","115,79","115,85","117,39","119,04","119,65","120,32","119,48","119,92","119,92","119,92","119,92","119,92","119,92","120,21","120,21","119,06","119,80","119,51","119,65","119,76","119,99","119,99","119,99","120,04","120,04","120,27","120,79","120,79","120,79","122,58","122,58","122,65","122,65","124,51","124,51","124,51","124,51"
KAB ACEH TAMIANG,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,"104,87","107,16","107,24","107,33","107,90","107,97","107,97","108,08","108,27","109,35","109,43","109,63","109,93","110,01","110,15","110,18","110,19","110,28","110,56","110,79","111,21","111,21","111,41","111,50","111,61","111,68","112,44","112,69","112,68","112,92","112,92","112,91","112,94","112,94","112,94","113,11","113,17","115,16","115,13","115,13","115,14","115,44","115,63","115,63","116,35","116,89","116,89","117,03","117,03","117,35","117,44","117,47","117,53","117,53","118,07","118,07","118,15","118,23","118,23","118,23"
KOTA LHOKSEUMAWE,"106,80","107,19","107,26","107,83","108,46","108,96","108,86","109,07","109,72","109,89","110,01","110,76","111,05","111,16","111,91","112,03","112,72","112,84","112,94","114,52","114,49","114,67","114,67","114,67","114,67","115,81","116,01","116,01","116,57","116,80","116,63","117,28","117,20","117,33","117,62","117,62","117,84","117,79","118,20","118,29","118,64","118,67","119,11","119,11","119,63","120,21","120,21","120,21","121,33","122,02","122,02","122,02","122,02","122,59","124,46","124,46","124,46","124,46","124,85","124,85"
KAB LABUHANBATU,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KARO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DELI SERDANG,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SIBOLGA,"113,17","115,31","115,17","115,41","115,83","115,86","116,01","116,11","116,11","116,13","116,33","116,37","117,95","118,20","118,37","118,48","119,03","119,13","119,19","120,62","120,73","121,00","121,10","121,26","121,07","121,60","121,62","121,66","121,26","121,54","121,63","121,63","122,87","122,99","123,20","123,69","124,32","124,89","125,88","126,42","129,35","130,77","131,02","131,28","131,75","133,95","133,95","133,95","135,13","135,21","135,22","135,93","136,65","136,68","136,64","136,62","136,67","136,83","137,16","137,18"
KOTA PEMATANG SIANTAR,"110,85","111,41","111,64","111,82","113,32","114,18","114,50","115,11","115,75","116,58","116,65","117,93","117,57","118,08","118,31","118,31","118,85","123,22","123,36","123,35","123,17","123,59","124,08","124,08","124,55","125,07","125,67","125,93","126,56","126,58","126,51","126,36","126,37","126,63","127,43","127,54","127,24","127,52","127,70","128,48","129,09","129,57","129,36","129,37","129,96","130,21","130,29","130,28","130,28","135,48","136,08","136,20","136,20","137,16","139,12","139,50","139,51","139,48","139,63","139,63"
