DAERAH,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
KOTA MEULABOH,"109,30","109,30","109,46","109,66","109,46","109,56","109,67","109,60","109,60","109,60","109,60","113,89","113,96","114,01","114,12","114,12","114,12","114,12","114,11","114,11","114,11","114,16","114,16","114,16","114,00","114,07","119,78","119,85","119,85","119,93","120,02","119,97","120,67","126,55","123,88","123,93","123,93","125,28","131,06","131,06","131,22","130,24","130,24","130,24","130,58","130,59","130,72","130,72"
KOTA BANDA ACEH,"107,10","109,27","111,09","111,57","113,19","113,39","114,90","115,09","115,01","115,28","115,30","115,33","115,43","116,61","116,60","116,80","117,11","117,11","117,11","117,25","117,39","117,31","117,45","117,43","117,97","118,04","118,87","120,77","120,88","120,88","120,95","121,10","122,29","122,29","122,32","122,72","123,01","127,59","127,59","127,62","127,62","127,58","127,71","127,73","127,87","128,16","128,92","128,92"
KOTA LHOKSEUMAWE,"106,26","106,26","106,26","106,96","106,96","106,96","106,96","106,96","106,96","106,96","106,96","106,96","107,06","107,29","107,73","108,00","108,00","108,26","108,26","108,26","108,26","108,26","108,26","108,26","108,26","108,35","108,35","108,35","108,35","108,35","108,35","108,35","108,35","108,35","108,35","108,62","108,66","108,66","108,66","108,66","108,66","108,66","108,66","110,08","110,08","110,59","110,59","110,59"
KOTA SIBOLGA,"102,37","102,30","102,30","102,42","102,48","102,64","102,43","102,49","102,49","102,49","102,49","102,49","102,49","102,49","102,49","102,49","102,49","102,49","102,49","102,49","103,03","103,81","103,81","103,81","104,23","104,23","104,23","108,61","108,61","108,31","108,33","108,33","108,40","108,40","108,40","108,40","111,43","112,91","112,97","139,58","139,58","139,85","139,85","139,85","139,85","139,85","139,85","139,85"
KOTA PEMATANG SIANTAR,"112,62","112,62","112,85","112,85","112,16","112,61","112,61","112,61","112,61","112,61","112,61","113,36","113,42","113,86","113,86","113,86","114,06","114,06","114,06","114,06","114,60","114,61","114,61","114,61","114,61","115,02","115,68","115,68","115,68","115,89","115,95","115,95","115,95","115,95","115,95","115,95","115,95","115,95","117,23","117,23","117,58","117,53","118,32","118,32","118,32","118,46","118,46","118,93"
KOTA MEDAN,"102,54","102,92","102,92","103,55","103,95","103,95","104,05","104,03","104,23","104,55","104,54","104,51","104,86","104,89","105,08","105,09","105,14","105,14","105,17","105,26","105,31","105,42","105,49","105,49","105,49","105,47","105,59","105,63","106,18","106,19","106,19","106,39","106,56","106,56","106,75","106,75","106,79","106,79","106,81","106,86","106,83","107,01","108,40","108,73","109,10","109,42","109,89","109,91"
KOTA PADANGSIDIMPUAN,"127,50","128,10","128,27","128,27","128,33","128,37","128,33","128,33","128,51","128,55","128,59","128,59","128,66","128,66","128,36","128,42","128,44","128,44","128,44","128,44","128,47","128,47","128,47","128,47","128,47","135,13","135,15","135,15","135,15","135,23","135,35","135,35","137,61","137,61","137,61","137,61","137,85","141,25","141,25","141,29","141,29","141,29","141,29","141,29","142,17","143,14","146,30","146,30"
KOTA GUNUNGSITOLI,"100,00","100,00","107,93","107,93","107,93","108,48","108,48","108,48","108,48","108,48","108,55","108,55","109,03","109,07","109,07","109,07","109,22","109,34","109,34","108,26","108,86","108,86","108,86","109,67","110,54","110,54","110,54","115,73","115,73","118,10","118,10","120,08","120,08","121,27","121,27","123,30","125,38","125,38","125,38","125,38","125,38","125,38","125,38","125,38","125,38","125,38","125,38","125,38"
KOTA PADANG,"103,90","103,90","103,90","103,90","103,90","103,90","103,90","103,90","103,90","103,90","103,90","103,90","105,52","105,72","109,31","109,31","109,31","109,31","109,35","110,06","110,06","110,06","110,06","110,89","110,89","110,89","110,94","111,26","111,47","111,92","112,11","111,94","112,11","112,11","112,36","112,56","112,42","112,34","112,34","112,35","114,82","114,82","114,85","114,96","114,96","114,81","114,81","114,79"
KOTA BUKITTINGGI,"108,29","108,35","108,58","109,67","110,30","110,32","110,35","110,38","110,27","110,27","110,46","110,46","112,78","112,78","112,78","112,89","113,21","113,21","113,43","113,52","113,70","113,65","113,65","113,71","116,35","118,07","118,84","118,87","118,87","119,01","119,15","119,27","119,53","119,99","120,45","120,53","120,69","120,69","120,69","120,49","120,53","120,65","120,65","120,67","120,67","121,45","121,46","122,15"
TEMBILAHAN,"100,47","100,88","100,88","100,88","100,88","102,22","102,22","102,22","102,22","102,22","102,24","102,32","102,35","102,35","102,35","102,35","102,25","102,32","102,11","102,11","102,11","102,20","102,20","102,51","102,51","102,51","102,51","102,51","102,51","102,51","102,96","102,96","103,05","103,05","103,05","103,05","105,30","105,66","105,65","105,65","105,65","105,65","105,65","105,65","105,69","105,69","105,69","105,66"
KOTA PEKANBARU,"108,08","108,57","109,13","109,18","110,18","110,29","110,33","110,52","110,47","110,71","110,71","110,81","110,93","110,98","112,90","112,94","112,97","112,99","113,21","113,21","113,74","113,69","113,82","113,88","113,96","113,83","113,79","114,00","114,03","115,13","115,19","115,29","115,32","115,76","115,77","115,73","115,98","115,93","115,94","116,04","116,04","116,16","116,44","116,44","116,45","116,86","116,87","116,92"
KOTA DUMAI,"103,43","105,49","105,55","105,55","105,87","105,32","105,33","106,44","106,49","106,49","106,49","106,67","106,64","108,40","108,40","108,40","108,81","108,81","109,10","109,09","109,09","109,23","109,44","109,40","109,40","109,37","109,38","112,49","113,13","113,32","113,36","113,36","117,67","117,69","118,12","118,21","118,21","118,25","118,25","118,92","118,89","118,89","121,42","121,39","121,41","121,42","121,42","121,67"
BUNGO,"102,96","103,25","103,25","103,28","103,28","103,45","103,45","103,57","103,90","103,90","103,89","103,89","104,08","104,08","104,09","104,09","104,09","105,21","105,24","105,28","105,36","105,69","105,60","105,58","105,58","105,67","105,70","105,86","105,86","105,87","105,82","105,99","106,02","106,02","106,13","106,77","107,09","107,09","107,09","107,13","107,13","107,82","108,36","108,48","109,52","109,69","109,69","109,69"
KOTA JAMBI,"106,06","109,95","110,46","110,47","110,40","110,33","110,81","111,64","111,64","111,63","111,79","111,80","112,69","112,57","112,11","112,11","112,11","112,36","112,35","112,35","112,35","112,35","112,13","112,13","112,14","112,14","112,15","112,15","112,15","113,18","113,18","113,18","113,20","112,65","112,65","112,66","112,96","113,31","113,40","113,34","113,39","113,88","113,89","113,96","113,96","114,70","114,32","114,75"
KOTA PALEMBANG,"103,54","103,63","103,65","103,73","103,85","103,90","104,19","104,23","104,51","104,54","104,55","104,48","104,50","104,52","105,13","105,13","105,15","105,31","105,50","105,50","105,53","105,56","105,63","105,63","105,66","106,63","106,69","106,75","107,20","107,29","107,44","107,56","108,20","108,21","108,23","108,23","108,27","108,59","108,56","108,56","108,56","109,29","109,29","109,53","109,55","109,55","109,63","109,70"
