DAERAH,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015,01/2016,02/2016,03/2016,04/2016,05/2016,06/2016,07/2016,08/2016,09/2016,10/2016,11/2016,12/2016,01/2017,02/2017,03/2017,04/2017,05/2017,06/2017,07/2017,08/2017,09/2017,10/2017,11/2017,12/2017,01/2018,02/2018,03/2018,04/2018,05/2018,06/2018,07/2018,08/2018,09/2018,10/2018,11/2018,12/2018,01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019
KAB ACEH TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MEULABOH,114.65,114.65,114.65,114.65,114.65,114.65,114.81,114.81,114.95,114.95,114.95,114.95,"114,95","114,95","114,95","114,95","114,95","114,95","118,70","118,70","119,35","119,35","119,35","119,35","119,35","119,35","119,35","119,35","119,35","119,35","119,35","119,35","119,35","121,33","121,63","121,94","122,19","122,45","122,45","122,45","122,45","122,45","122,45","122,45","123,66","123,66","123,66","123,66","123,66","123,66","123,66","123,66","123,66","123,66","124,25","124,25","124,25","132,27","132,27","132,27"
KAB ACEH TAMIANG,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,111.17,111.17,111.17,111.17,111.17,111.17,111.17,118.2,118.2,118.2,118.2,118.2,"118,20","118,20","118,20","118,20","118,20","118,20","119,39","123,22","123,22","123,22","123,22","123,22","123,22","123,22","123,22","123,22","123,22","123,22","123,22","126,89","126,89","126,89","126,89","126,89","126,89","126,89","126,89","126,89","126,89","126,89","126,89","131,93","131,93","131,93","131,93","131,93","131,93","131,93","131,93","131,93","131,93","131,93","131,93","132,81","132,81","132,81","132,81","132,81"
KOTA LHOKSEUMAWE,110.34,110.34,110.34,110.34,110.34,110.34,112.28,115.2,115.2,115.2,115.2,115.2,"115,20","115,20","115,20","115,20","115,20","115,20","115,20","115,20","115,20","115,20","115,50","115,50","117,45","117,45","117,45","117,45","117,45","117,45","117,45","117,45","117,45","117,45","117,45","117,65","117,65","117,65","117,65","117,65","117,65","117,65","117,65","117,65","117,65","117,65","117,65","117,65","117,65","117,65","117,65","117,65","117,65","117,65","124,38","124,38","124,38","124,38","124,38","124,38"
KAB LABUHANBATU,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KARO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DELI SERDANG,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SIBOLGA,106.53,107.33,107.33,107.33,107.33,107.33,107.33,107.8,107.8,107.8,107.8,107.8,"107,80","107,80","107,80","107,80","107,80","107,80","107,80","110,46","110,94","110,94","110,94","110,94","110,94","110,94","110,94","110,94","110,94","110,94","111,89","112,02","112,02","112,02","112,02","112,02","112,02","112,02","112,02","112,02","112,02","112,02","112,02","112,02","132,90","132,90","132,90","132,90","133,09","133,09","133,09","133,09","133,09","133,09","133,09","135,91","135,91","135,91","135,91","135,91"
KOTA PEMATANG SIANTAR,110.33,"111,00","111,00","111,00","111,00","111,00","111,00","111,00","111,00","111,00","111,00","111,00","111,00","111,00","111,00","111,00","111,00","111,00","111,00","111,00","111,00","111,00","111,00","111,00","111,00","111,00","111,00","111,00","111,00","111,00","111,00","111,00","111,00","111,00","111,00","111,00","111,00","111,00","111,00","111,00","111,00","111,00","111,00","111,00","111,00","112,88","112,88","112,88","112,88","112,88","112,88","112,88","112,88","112,88","120,47","120,47","120,47","120,47","120,47","120,47"
