DAERAH,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
KOTA MEULABOH,"106,78","106,78","106,78","106,78","106,78","106,78","107,86","107,86","107,86","107,86","107,86","107,86","107,90","107,90","107,90","107,90","107,90","107,90","107,90","107,90","107,90","107,90","107,90","110,21","110,21","110,21","110,21","110,21","110,64","110,64","110,64","110,64","110,64","110,64","110,64","110,64","110,64","110,84","111,01","111,45","111,45","111,45","111,45","111,45","111,45","111,45","111,52","111,52"
KOTA BANDA ACEH,"102,49","102,49","102,49","102,49","102,49","102,49","102,49","102,49","103,27","103,27","103,27","103,27","103,27","103,27","103,27","103,27","103,27","103,27","103,52","103,69","103,69","103,69","103,69","103,69","103,69","103,69","103,69","103,69","103,69","103,88","103,88","103,88","103,92","103,92","103,92","103,92","103,92","103,92","103,92","103,92","103,92","103,92","103,92","104,15","104,15","104,15","104,15","104,15"
KOTA LHOKSEUMAWE,"102,78","102,78","102,78","102,78","102,78","102,78","102,85","102,85","108,76","108,76","108,76","108,76","109,14","109,81","109,81","109,81","109,81","109,81","110,33","110,33","110,33","110,33","110,33","110,33","110,33","110,33","110,33","110,33","110,33","111,14","111,44","111,55","111,58","111,58","111,58","111,58","111,58","111,58","111,58","111,58","111,58","111,58","111,58","112,16","112,16","112,16","112,16","112,16"
KOTA SIBOLGA,"113,81","113,81","113,81","113,81","113,81","113,81","113,81","113,81","113,81","113,81","113,81","113,81","113,81","113,81","113,81","113,81","113,81","113,81","113,81","113,81","113,81","113,81","113,81","113,81","113,81","113,81","113,81","114,86","114,86","115,91","115,91","116,62","116,62","116,62","116,62","116,62","116,62","117,66","117,66","117,66","117,66","117,66","117,66","121,17","121,17","121,17","121,17","121,17"
KOTA PEMATANG SIANTAR,"106,96","106,96","106,96","106,96","106,96","106,96","106,96","110,30","110,30","110,30","110,30","110,30","110,46","110,46","110,46","110,46","110,46","110,46","110,46","110,46","110,46","110,46","110,46","110,46","110,46","110,46","110,46","110,46","110,46","110,46","110,46","110,46","110,46","110,47","110,61","110,67","110,67","110,67","110,67","110,67","110,67","110,67","110,67","116,57","116,57","116,57","116,57","116,68"
KOTA MEDAN,"101,01","101,01","101,01","101,01","101,01","101,01","101,01","101,09","101,09","101,09","101,09","101,09","101,09","101,09","101,09","101,09","101,25","101,25","101,25","101,25","101,25","101,25","101,25","101,25","101,25","101,25","101,25","101,25","101,25","101,25","101,25","101,25","101,81","101,81","101,81","101,81","101,81","101,81","101,81","101,81","101,81","101,81","101,81","102,10","104,53","104,53","104,53","104,53"
KOTA PADANGSIDIMPUAN,"114,03","114,03","114,03","114,03","114,03","114,03","114,03","114,03","114,03","114,03","114,03","113,69","113,69","113,69","113,69","113,69","113,69","113,69","113,69","113,69","113,69","113,69","113,69","113,69","113,69","113,69","113,69","113,69","113,69","113,69","114,03","115,01","115,01","115,01","115,01","115,01","115,01","115,01","115,01","115,01","115,01","115,01","115,01","116,27","116,27","116,27","116,27","116,27"
KOTA GUNUNGSITOLI,"101,09","101,09","101,09","101,09","101,09","101,09","101,09","101,23","101,23","101,23","101,23","101,23","101,23","101,23","101,23","101,23","101,23","101,23","101,23","101,23","101,23","101,23","101,23","101,23","101,23","101,23","101,23","101,23","101,23","101,83","101,83","102,82","102,82","102,82","102,82","102,82","102,82","102,82","102,82","102,82","102,82","102,82","102,82","103,83","103,83","103,83","103,83","103,83"
KOTA PADANG,"103,41","103,41","103,49","103,49","103,49","103,49","102,82","103,01","103,01","104,69","104,69","104,69","104,94","104,94","105,05","105,05","105,05","105,05","105,05","104,49","104,49","104,49","104,49","104,49","104,49","104,49","104,49","104,49","104,49","104,49","106,70","106,91","106,91","106,91","106,91","106,91","106,91","106,91","106,91","106,91","106,91","106,91","109,10","109,41","109,41","109,41","109,41","109,41"
KOTA BUKITTINGGI,"105,36","105,36","105,36","105,36","105,36","105,36","104,26","104,75","105,46","105,46","105,46","105,67","105,67","105,67","105,67","106,57","106,57","106,57","106,62","106,62","106,53","106,53","106,53","106,53","106,53","106,53","106,53","106,53","106,53","106,53","107,23","107,43","107,43","109,13","109,13","109,13","109,20","109,20","109,20","109,20","109,20","109,20","110,50","110,50","114,50","114,50","114,50","114,50"
TEMBILAHAN,"103,10","103,10","103,10","103,10","103,10","103,10","103,20","103,50","106,41","106,41","106,41","106,41","106,41","106,41","106,41","106,41","106,41","106,41","106,71","107,13","107,13","110,92","110,92","110,92","110,92","110,92","110,92","110,92","110,92","110,92","111,22","111,22","111,22","111,22","111,22","111,40","111,40","111,40","111,40","111,40","111,40","111,40","111,70","112,10","112,10","112,10","112,10","112,10"
KOTA PEKANBARU,"103,62","103,62","103,62","103,62","103,67","103,67","103,67","104,15","104,15","104,15","104,15","104,15","104,15","104,15","104,15","104,15","104,15","104,15","104,15","103,69","103,69","103,69","103,69","103,69","103,73","103,95","103,95","103,95","103,95","103,95","103,95","103,95","103,95","103,95","103,95","103,95","104,01","104,01","104,01","104,01","104,01","104,01","104,10","104,77","104,98","104,98","104,98","104,98"
KOTA DUMAI,"104,15","104,15","104,15","104,15","104,15","104,15","104,15","104,77","105,76","105,76","105,76","105,76","105,76","105,76","105,76","105,76","105,76","105,76","107,99","109,34","109,34","109,34","109,34","109,34","109,34","109,34","109,34","109,67","109,67","109,67","109,67","110,46","111,26","111,26","111,26","111,26","111,26","112,22","112,22","112,22","112,22","112,22","112,45","113,58","113,58","113,58","113,58","113,58"
BUNGO,"102,55","102,84","102,84","102,84","102,84","102,84","102,85","102,86","102,74","102,74","102,74","102,74","102,74","102,76","102,76","102,76","102,76","102,76","102,76","102,76","103,16","103,16","103,16","103,16","103,29","103,29","103,29","103,29","103,29","103,43","103,49","103,82","104,14","104,14","104,14","104,14","104,14","104,14","104,14","104,14","105,07","105,07","105,63","105,63","107,48","107,48","107,48","107,48"
KOTA JAMBI,"104,90","104,90","104,90","104,90","104,90","104,90","104,48","104,50","104,50","104,50","104,50","104,50","104,50","104,50","104,50","104,50","104,50","104,50","104,82","104,82","104,83","104,83","104,83","104,83","104,83","104,83","104,83","104,83","104,83","105,00","105,40","105,40","105,40","105,40","105,40","105,40","105,40","105,54","105,54","105,54","105,54","105,54","106,26","106,26","106,26","106,26","106,26","106,26"
KOTA PALEMBANG,"107,40","107,40","107,40","107,40","107,40","107,40","108,48","108,48","108,48","108,48","108,48","108,48","108,90","108,90","108,90","108,90","108,90","109,60","110,66","110,66","110,66","110,66","110,66","110,66","110,75","111,54","111,54","111,54","111,54","111,54","112,07","112,07","112,07","115,06","115,06","115,06","115,06","116,05","116,10","116,10","116,10","116,10","116,56","118,40","118,40","118,40","118,40","118,40"
