DAERAH,01/2024,02/2024,03/2024,04/2024,05/2024,06/2024,07/2024,08/2024,09/2024,10/2024,11/2024,12/2024,01/2025,02/2025,03/2025,04/2025,05/2025,06/2025,07/2025,08/2025,09/2025,10/2025,11/2025,12/2025,01/2026,02/2026,03/2026,04/2026
KAB ACEH TENGAH,102.26,102.26,102.26,102.45,102.45,102.45,102.45,102.45,102.45,102.45,102.45,102.45,102.33,102.33,102.55,102.55,102.98,103.26,106.31,107.66,108.03,108.03,108.03,108.03,108.55,108.55,108.55,108.55
MEULABOH,102.96,102.96,102.96,102.96,102.96,102.96,102.96,102.96,102.99,102.99,102.99,102.99,102.99,102.99,102.99,102.99,102.99,102.99,102.99,102.99,106.54,106.54,106.54,106.54,106.54,106.54,106.54,106.54
KAB ACEH TAMIANG,102.36,102.36,102.36,102.36,102.36,102.36,102.36,107.25,107.62,107.62,107.62,107.62,107.62,107.62,107.62,107.62,107.62,107.62,108.19,108.19,108.19,108.19,108.19,108.19,108.19,108.19,108.19,108.19
KOTA BANDA ACEH,100.36,100.39,100.39,100.39,100.39,100.39,100.39,100.94,100.94,100.94,100.94,100.94,100.94,100.94,100.94,100.94,100.94,100.94,98.91,"99,00",99.06,99.06,99.06,99.06,99.06,99.06,99.06,99.06
KOTA LHOKSEUMAWE,101.39,101.39,101.39,101.39,101.39,101.39,103.54,104.96,104.96,104.96,104.96,104.96,104.96,104.96,104.96,104.96,104.96,104.96,105.59,105.73,106.08,106.09,106.09,106.09,106.09,106.09,106.09,106.09
KAB LABUHANBATU,100.54,100.54,100.54,100.54,100.54,100.54,100.54,100.54,100.54,100.54,100.54,100.54,100.54,100.54,100.54,100.54,100.54,100.54,100.85,100.85,100.85,100.85,100.85,100.85,100.85,98.11,98.11,98.11
KAB KARO,"100,00","100,00","100,00","100,00","100,00","100,00","100,00","100,00","100,00","100,00","100,00","100,00","100,00","100,00","100,00","100,00","100,00","100,00",104.33,104.71,104.71,104.71,104.71,104.71,104.71,104.71,104.71,104.71
KAB DELI SERDANG,"100,00","100,00","100,00","100,00","100,00","100,00","100,00",100.87,100.87,100.87,100.87,100.87,100.87,100.87,100.87,100.87,100.87,100.87,102.46,104.36,105.19,105.19,105.19,105.19,105.19,105.19,105.19,105.19
KOTA SIBOLGA,103.65,103.65,103.65,103.65,103.65,103.65,103.65,106.57,106.57,106.57,106.57,106.57,106.57,106.57,106.57,106.57,106.57,106.57,110.14,110.23,111.03,111.03,111.03,111.18,111.18,111.18,111.18,111.18
KOTA PEMATANGSIANTAR,106.78,106.78,106.78,106.78,106.78,106.78,108.97,108.97,108.97,108.97,108.97,108.97,110.27,110.27,110.27,110.27,110.27,110.27,111.44,113.16,114.22,114.27,114.27,114.27,114.27,114.73,114.73,114.73
