Daerah,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015,01/2016,02/2016,03/2016,04/2016,05/2016,06/2016,07/2016,08/2016,09/2016,10/2016,11/2016,12/2016,01/2017,02/2017,03/2017,04/2017,05/2017,06/2017,07/2017,08/2017,09/2017,10/2017,11/2017,12/2017,01/2018,02/2018,03/2018,04/2018,05/2018,06/2018,07/2018,08/2018,09/2018,10/2018,11/2018,12/2018,01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019
KAB ACEH TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MEULABOH,120.41,119.24,118.48,118.58,119.37,120.05,121.06,120.3,120.27,120.33,120.67,121.26,121.82,122.27,122.18,122.01,122.49,122.68,123.18,123.82,124.85,125.25,125.44,125.83,127.51,128.03,127.95,127.29,127.37,127.98,127.99,128.3,128.78,129.14,130.28,131.82,131.63,131.3,131.57,130.88,131.62,131.88,132.81,133.11,132.57,132.35,132.45,133.08,134.29,133.34,133.86,134.1,135.89,137.66,137.95,138.22,139.48,139.73,139.03,138.77
KAB ACEH TAMIANG,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,114.95,113.91,113.22,113.31,113.89,115.26,115.96,115.71,115.29,115.41,115.67,116.3,117.01,117.03,116.73,115.46,116.3,117.58,118.44,118.02,118.94,118.92,119.1,119.94,120.27,120.5,120.32,120.2,121.23,122.21,122.6,123.11,123.87,124.08,124.45,125.77,125.35,125.09,124.99,124.87,125.77,126.83,126.93,127.56,126.6,127.01,128.18,128.2,128.75,128.06,127.5,127.96,129.85,130.34,130.03,130.12,129.41,129.5,129.37,129.97
KOTA LHOKSEUMAWE,116,113.6,113.03,113.92,114.34,115.52,115.87,115.7,115.96,116.38,116.78,118.31,118.65,118.49,118.26,117.8,118.09,119.02,119.2,119.79,121.52,121.79,122.19,124.94,125.26,124.27,122.53,121.7,122.79,123.9,124.32,125.68,125.88,126,126.39,128.53,128.94,128.26,127.94,127.37,128.25,129.66,130.1,129.88,128.78,129.43,129.8,131.16,131.34,130.45,129.86,130.69,131.81,132.21,132.5,131.78,131.22,131.91,131.94,132.73
KAB LABUHANBATU,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KARO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DELI SERDANG,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SIBOLGA,120.13,117.68,117.3,117.98,119.83,121.46,123.31,122.41,120.15,119.9,120.83,123.39,125.64,125.62,126.56,124.29,123.71,124.87,126.01,126.78,129.12,130.83,132.13,132.51,133.28,131.5,130.58,130.91,131.42,131.92,131.61,132.94,134.17,134.58,136.07,136.59,138.34,137.65,138.74,137.85,137.75,138.15,139,138.48,139.02,140.75,140.36,140.5,140.46,139.48,139.82,141.43,142.38,145.59,148.33,147.47,144.61,144.08,143.39,144.12
KOTA PEMATANG SIANTAR,121.23,119.56,119.76,120.43,121.77,123.52,123.59,123.34,123,123.53,123.87,126.07,126.63,126.21,127.04,126.2,127.24,128.07,128.29,129.14,129.51,130.32,131.36,132.07,133.02,132.8,133.03,132.81,132.8,132.71,133.06,134.16,134.9,135.1,135.53,136.16,136.89,136.1,136.33,137.1,137.09,137.23,137.71,137.8,137.47,138.57,138.56,139.09,139.1,138.69,139.06,140.49,141.43,142.71,143.12,142.55,140.87,140.89,140.75,141.23
KOTA MEDAN,120.27,118.64,118.63,119.77,120.98,121.91,122.91,123.63,122.77,122.37,123.02,124.7,125.83,126.31,127.42,125.87,126.42,127.45,127.54,128.59,130.29,131.74,132.72,132.93,133.44,132.59,132.33,131.63,131.73,132.05,132.46,133.87,135.31,135.63,136.17,137.16,138.14,136.82,137.66,137.65,136.46,136.47,137.14,137.15,137.28,139.26,138.37,138.53,138.83,138.42,138.86,140.66,142.53,144.92,146.3,146.7,143.88,143.39,142.29,141.89
KOTA PADANGSIDIMPUAN,117.9,116.25,116.24,116.82,117.55,118.12,119.42,119.03,118.05,118.04,118.52,120.22,121.09,120.86,121.51,120.67,121.04,121.32,123.23,122.73,123.75,124.37,125.33,125.36,126.72,126.63,126.08,126.34,126.23,127.6,126.96,127.5,128.01,128.21,129.03,130.15,130.51,129.75,130.18,131.17,130.45,130.95,131.64,131.65,131.7,131.84,132.5,133.04,133.65,133.05,133.38,133.86,134.22,136.62,136.7,136.97,135.67,136.15,136.08,135.9
KOTA GUNUNGSITOLI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DHARMASRAYA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PASAMAN BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PADANG,123.54,120.98,120.99,121.67,122.46,123.48,124.97,125.44,124.83,124.28,124.87,127.1,127.12,128.21,128.91,127.72,127.25,127.38,129.32,130.4,131.16,131.9,133.39,133.48,134.24,134.06,134.04,133.62,133.56,134.01,134.73,134.25,134.43,134.69,135.33,136.3,136.88,136.76,137.19,137.2,137.83,138.37,139.23,138.67,138.18,139.28,139.55,139.77,140.11,139.49,139.95,140.56,141.77,143.28,144.55,144.41,143.04,142.55,142.07,142.17
KOTA BUKITTINGGI,117.76,114.99,114.79,115.67,116.62,117.15,119.09,119.74,118.87,118.39,119.37,121.52,121.88,121.62,123.05,121.09,120.68,121.56,123.34,123.83,125.2,125.66,127.01,126.29,126.57,126,126.31,126.08,125.52,125.77,125.88,126.23,126.62,127.14,127.55,128.02,128.98,128.69,129.05,129.21,128.71,128.97,129.08,128.91,129.04,130.23,131.31,131.85,131.34,130.7,130.84,131.51,132.54,134.24,134.86,135.18,133.69,133.72,133.59,133.58
TEMBILAHAN,123.83,122.65,122.58,123.34,124.41,124.94,125.93,126.25,125.77,125.46,125.65,126.62,127.21,127.14,127.48,127.02,127.17,128.23,128.97,129.31,129.02,129.65,129.87,129.89,131.43,131.25,131.26,131.29,132.2,132.62,132.9,133.96,133.95,134.07,134.76,135.43,136.38,135.87,137.75,137.98,138.3,138.45,138.76,138.03,136.99,136.94,138.04,139,139.53,138.75,139.28,140.76,142.58,143.85,144.3,143.83,143.43,142.58,142.37,142.34
KAB KAMPAR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PEKANBARU,118.73,118.02,117.98,118.93,119.42,120.31,120.99,121.53,121.04,120.81,121.3,122.8,123.11,122.5,123.16,121.61,121.89,122.29,123.79,123.95,125.12,125.96,127.6,127.95,129.82,129.04,129.53,129.89,130.05,130.24,131,131.26,131.65,132.09,132.52,133.16,133.95,133.59,134.34,134.61,134.58,134.6,135.13,135.38,135.1,135.72,136.29,136.54,136.4,135.96,136.08,136.77,137.53,139.32,140.59,141.09,140.76,140.7,140.34,140.03
KOTA DUMAI,119.16,118.35,118.5,118.95,120.12,120.83,121.77,122.44,122.16,122.3,122.27,122.75,123.55,123.94,124.23,123.43,123.51,124.48,125.05,125.11,125.91,126.5,127.54,127.63,129.65,131.1,130.85,130.57,130.71,131.89,131.95,132.13,132.19,132.29,133.11,133.82,134.3,133.98,134.05,134.24,134.45,135.33,135.19,134.73,134.38,135.05,136,136.3,136.25,135.82,135.92,136.39,137.82,138.92,139.49,139.14,138.04,138.11,137.95,138.05
KAB KERINCI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BUNGO,118.43,116.86,116.06,116.17,116.57,117.29,119.17,119.45,119.2,118.82,118.9,120.6,121.54,121.76,121.38,121.23,120.13,122.13,123.33,123.1,123.02,123.7,124.49,124.35,125.37,125.34,126.23,126.69,126.89,127.98,128.58,128.34,127.98,128.69,129.23,129.64,129.96,129.79,130.2,130.44,130.63,131.04,131.2,131.24,131.25,131.92,132.62,132.83,133.21,132.94,133.4,134,136.14,137.54,137.75,137.57,136.96,136.71,136.01,136.3
KOTA JAMBI,118.97,117.19,116.95,117.3,118.69,119.33,121.17,121.47,119.94,120.02,120.59,121.69,122.2,122.47,122.79,121.01,122.09,123.27,124.7,124.86,124.65,126.13,126.76,127.21,127.53,125.74,126.13,126.88,127.27,127.85,128.23,127.98,127.54,127.61,128.67,130.62,131.81,130.71,131.53,131.81,131.66,133.52,132.51,132.61,131.91,133.07,133.27,134.57,133.89,133.5,133.94,134.76,135.27,136.65,137.3,136.15,135.83,135.98,135.76,136.28
KAB OGAN KOMERING ILIR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUARA ENIM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALEMBANG,115.61,115.05,115.41,115.96,116.61,117.06,118.29,118.61,118.16,118.38,119.19,120.53,120.91,120.78,121.05,120.82,121.62,122.18,123.55,123.23,123.53,123.43,124.13,124.96,125.62,125.73,125.61,125.51,126.31,127.4,127.56,127.3,127.19,127.29,127.73,128.52,129.29,129.21,129.72,130.1,130.3,131.15,131.14,130.92,130.39,130.57,130.84,132.09,132.27,131.95,131.94,132.67,133.17,133.92,134.44,134.23,134.01,133.89,134.29,134.81
KOTA LUBUKLINGGAU,115.17,113.88,113.91,115.04,115.62,116.62,118.84,119.42,119.23,118.57,118.84,120.51,121.1,120.58,121.28,120.37,120.77,121.64,122.23,121.76,122.72,123.11,123.68,123.81,124.86,125.23,125.14,125.39,126.07,127.33,127.07,127.36,126.79,126.87,127.76,128.69,129.82,129.79,130.18,130.56,130.65,130.9,131.27,131.36,130.98,131.02,131.35,131.8,132.14,131.61,131.76,132.24,133.4,134.06,134.66,134.57,134.15,134.19,134.24,134.57
KAB MUKO MUKO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BENGKULU,123.53,121.73,121.96,122.63,123.09,124.19,125.91,128.41,128.13,127.47,127.59,128.6,129.46,129.14,129.19,128.1,129.23,130.98,133.26,133.95,134.05,134.76,134.84,135.03,136.36,136.65,136.96,136.55,137.31,138.1,138.59,138.86,138.8,138.63,138.87,139.84,141.22,140.8,141.32,141.69,142.15,143.3,144.55,141.95,142.79,141.73,142.01,143.13,144.39,143.98,143.65,144.43,146.04,147.15,147.98,146.7,147.64,146.82,146.43,147.3
KAB LAMPUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MESUJI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDAR LAMPUNG,117.65,117.31,117.87,118.77,119.55,120.39,121.69,122.19,122.22,122.33,122.47,123.9,124.22,123.59,124.2,123.26,123.34,124.26,124.92,124.78,125.16,125.88,126.42,127.31,128.38,129.13,129.05,128.78,129.92,130.62,130.5,129.95,130.28,130.42,130.7,131.31,133.17,133.25,133.4,133.39,133.32,134.62,134.56,134.63,134.36,134.39,134.73,135.15,135.47,135.02,135.49,136.42,137.53,138.4,139.38,139.55,139.3,139.17,139.26,139.92
KOTA METRO,126.67,125.45,125.76,125.9,126.93,128,129.69,129.26,129.45,129.49,129.16,130.28,131.12,131.67,131.84,130.78,130.75,131.63,132.02,132.86,133.06,133.11,133.91,134.08,135.04,135.42,135.01,134.78,135.94,136.59,136.49,136.31,136.45,136.77,136.88,137.19,137.85,138.11,138.34,138.18,137.73,138.44,138.37,138.65,138.39,138.69,139.06,139.44,139.63,139.58,139.8,140.52,141.21,141.89,142.49,143.08,142.64,142.5,143.01,143.58
TANJUNG PANDAN,128.58,126.08,123.59,123.99,125.05,125.91,125.3,128.17,129.71,127.18,126.38,127.94,127.91,129.21,127.63,126.79,128.44,130.32,133.37,132.6,131.7,132.11,133.03,134.23,136.53,136.14,134.11,135.36,136.58,139.08,138.91,137.94,136.74,137.14,137.5,139.56,140.17,139.77,139.7,139.32,139.76,141.55,142.75,143.46,141.85,142.7,142.16,143.35,145.12,143.93,144.32,145.97,146.27,145.67,147.46,146.95,147.65,147.77,146.21,147.92
KAB BANGKA BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
