Daerah,01/2024,02/2024,03/2024,04/2024,05/2024,06/2024,07/2024,08/2024,09/2024,10/2024,11/2024,12/2024,01/2025,02/2025,03/2025,04/2025,05/2025,06/2025,07/2025,08/2025,09/2025,10/2025,11/2025,12/2025,01/2026,02/2026,03/2026,04/2026
PROV ACEH,105.37,106.12,106.63,106.68,106.84,106.87,106.75,106.86,106.3,106.21,106.6,107.21,107.07,106.56,108.26,110,109.35,109.21,109.95,110.81,111.03,111.16,110.42,114.4,114.23,113.96,114.01,114.27
PROV SUMATERA UTARA,105.44,105.87,106.63,106.59,107.1,106.75,105.87,105.72,105.5,105.64,106.21,107.25,107.32,106.64,107.37,108.82,108.29,108.08,108.9,110.39,111.11,110.89,110.42,112.25,111.41,111.66,111.51,112
PROV SUMATERA BARAT,105.62,106.86,107.54,107.22,107.77,107.92,106.76,106.59,106.12,106.24,106.53,106.9,106.93,106.76,107.86,109.77,108.69,108.41,109.1,109.67,110.6,111.04,110.77,112.41,111.12,111.45,111.49,111.93
PROV RIAU,105.78,106.4,107.17,107.22,107.54,107.3,106.44,106.15,105.8,105.86,106.32,106.98,106.96,106.42,107.9,109.44,108.59,108.35,109.02,109.95,111.17,111.1,110.86,112.2,111.7,112.06,111.84,112.03
PROV JAMBI,105.92,106.06,106.63,106.82,107.02,106.88,106,105.99,105.81,105.84,106.06,106.55,106.41,105.77,106.97,108.79,108.05,108.31,108.87,108.92,109.8,109.77,109.82,110.5,109.98,110.62,110.77,111.07
PROV SUMATERA SELATAN,105.66,105.67,105.93,106.39,106.45,106.42,106.11,105.91,105.78,105.87,106.48,107.01,106.63,106.19,107.81,109.31,108.93,109.02,109.17,109.13,109.42,109.56,109.58,110.12,110.18,110.82,111.14,111.09
PROV BENGKULU,105.24,106.07,106.3,106.44,106.76,106.72,105.97,105.78,105.48,105.39,105.6,105.96,105.33,104.73,106.07,107.46,107.18,106.61,107.04,107.15,108.19,108.39,108.43,108.9,108.08,108.79,109.09,109.47
PROV LAMPUNG,106.55,106.97,107.35,107.34,107.43,107.31,107.14,107.21,107.26,107.47,107.92,108.43,107.66,106.95,109.05,110.35,109.71,109.75,109.96,108.34,108.51,108.76,109.15,109.79,109.71,110.11,110.32,110.93
PROV KEPULAUAN BANGKA BELITUNG,103.6,104,104.04,104.6,104.27,103.95,103.54,103.78,103.76,103.57,103.58,104.25,103.36,103.33,105.22,106.03,105.09,104.98,105.66,105.17,105.65,106.17,106.55,107.14,107.44,106.75,107.19,107.61
PROV KEPULAUAN RIAU,105.69,105.46,105.94,106,106.39,106.69,106.21,106.17,106.32,106.38,106.63,107.35,107.81,107.66,108.07,108.71,108.23,108.1,108.3,108.5,109.19,109.58,109.83,111.08,110.98,111.47,111.56,112.04
PROV DKI JAKARTA,103.95,104.42,104.81,105.08,104.97,105.1,105.04,105.08,104.97,105,105.3,105.69,104.1,103.8,105.88,107.4,107.14,107.28,107.4,107.35,107.49,107.82,108.11,108.47,108.22,108.9,109.45,109.68
PROV JAWA BARAT,105.76,106.24,106.78,106.94,106.81,106.77,106.83,106.9,106.68,106.7,106.96,107.33,106.6,105.95,107.64,108.73,108.38,108.67,109,108.79,109.02,109.51,109.68,110.15,110.05,110.94,111.52,111.44
PROV JAWA TENGAH,105.23,105.83,106.46,106.67,106.44,106.14,106,105.93,105.98,106.18,106.46,107.07,106.58,105.75,107.26,108.74,108.21,108.47,108.67,108.56,108.79,109.22,109.43,109.98,109.6,110.43,111.06,111.03
PROV DI YOGYAKARTA,105.24,105.65,106.1,106.2,106.11,105.85,105.82,105.87,105.76,105.86,106.12,106.61,106.24,105.33,106.65,108.43,108.27,108.52,108.57,108.31,108.47,108.93,109.22,109.93,109.75,110.5,111,111.1
PROV JAWA TIMUR,105.41,105.93,106.61,106.99,106.76,106.37,106.41,106.34,106.21,106.37,106.62,107.11,106.53,105.9,107.43,108.43,108.06,108.52,108.76,108.65,108.9,109.23,109.42,110.25,110.03,111.07,111.5,111.52
PROV BANTEN,104.6,105.14,106.17,106.6,106.05,105.97,105.72,105.73,105.46,105.61,106.08,106.61,105.49,104.79,106.91,108.29,107.71,107.91,108.14,107.79,107.9,108.51,108.8,109.53,109.16,110.18,110.7,110.61
PROV BALI,105.31,105.95,106.94,107.28,107.17,106.58,106.69,106.8,106.94,107.01,107.54,107.87,107.85,107.23,108.96,109.75,109.23,109.71,110.06,109.63,109.62,109.8,110.24,111.01,110.63,111.4,112.02,112.03
PROV NUSA TENGGARA BARAT,105.73,105.82,106.74,106.8,106.36,106.08,105.71,105.77,105.87,105.96,106.55,107.04,106.45,105.81,107.97,108.72,108.09,108.74,108.93,108.48,108.72,109.1,109.47,110.26,110.56,111.49,112.39,112.27
PROV NUSA TENGGARA TIMUR,106.17,106,105.85,106.18,105.93,105.69,105.35,105.09,105.06,105.33,105.53,106.4,106.11,106.5,107.82,108.06,107.63,107.51,108.54,107.94,107.48,107.44,108.06,108.94,109.65,110.14,110.41,110.89
PROV KALIMANTAN BARAT,105.41,105.49,105.84,106.57,106.74,106.43,105.95,105.69,106,106.04,106.33,106.82,105.57,105.53,106.83,107.85,107.37,107.71,108.22,107.94,108.06,108.24,108.5,108.8,109.09,109.65,109.92,110.55
PROV KALIMANTAN TENGAH,105.76,105.27,105.96,106.73,106.96,106.66,105.94,105.53,105.6,105.75,106.13,106.64,106.06,105.57,107.37,108.02,107.45,107.79,108.2,107.72,108.08,108.64,108.85,109.98,110.4,110.91,111.51,111.97
PROV KALIMANTAN SELATAN,105.67,105.66,106.32,107.08,107.07,106.73,106.26,105.88,105.95,106.12,106.65,107.14,106.33,105.92,107.6,108.76,108.41,108.66,108.89,108.72,109.03,109.42,110.22,111.06,111.28,112.24,112.8,112.75
PROV KALIMANTAN TIMUR,105.64,105.92,106.28,107.02,107.22,107.17,106.76,106.63,106.69,106.52,106.6,106.93,105.86,105.6,107.73,108.7,108.32,108.91,108.98,108.54,108.58,108.59,109.03,109.8,109.84,110.5,111.3,111.42
PROV KALIMANTAN UTARA,104.42,104.62,105.06,105.47,105.59,105.51,105.5,105.3,105.21,105.39,105.26,105.72,104.29,104.11,106.36,106.84,106.9,106.97,107.6,107.66,107.65,107.74,107.86,108.44,108.55,109.06,109.68,109.7
PROV SULAWESI UTARA,106.37,105.7,106.83,107.01,106.93,107.43,107.31,107.27,106.69,106.91,107.35,107.28,106.1,105.54,108.34,109.44,108.57,109.27,109.5,108.28,108.36,108.49,108.05,108.6,109.33,110.44,110.72,111.78
PROV SULAWESI TENGAH,105.88,106.36,106.94,106.99,107.07,107.26,107.02,106.75,106.82,106.83,106.82,107.16,105.9,105.96,108.95,110.17,109.86,109.91,110.97,111.04,110.96,111.02,110.56,110.71,110.72,111.61,112.03,112.6
PROV SULAWESI SELATAN,105.35,105.67,106.07,106.23,106.12,105.84,105.65,105.61,105.52,105.68,105.86,106.26,105.46,104.52,106.78,108.65,108.28,108.21,108.87,108.91,108.72,108.83,108.75,109.28,109.79,110.93,111.59,111.56
PROV SULAWESI TENGGARA,105.42,105.62,106.28,106.78,106.89,106.79,106.62,106.33,106.12,105.94,106.25,106.56,105.01,105.39,107.91,108.87,108.72,109.48,110.59,110.32,110.03,109.39,109.37,109.61,110.37,111.09,111.55,112.11
PROV GORONTALO,106.47,105.25,106.1,106.7,107.02,106.87,105.86,105.71,106.12,105.51,106,106.6,104.85,104.95,107.97,109.15,107.32,107.72,109.16,108.36,108.23,108.08,108.34,109.29,109.6,110.51,110.78,111.6
PROV SULAWESI BARAT,105.29,105.37,105.82,105.53,105.46,106.31,105.83,105.69,106.04,106.26,106.08,106.78,105.63,105.12,107.46,109.08,108.84,109.04,109.61,109.41,109.26,109.06,108.8,109.43,110.21,110.53,110.62,110.89
PROV MALUKU,105.84,104.58,104.1,104.4,106.37,107.78,106.9,106.54,106.47,107.16,107.43,106.99,106.64,105.97,107.79,107.89,108.75,109.81,110.1,110,109.68,109.62,109.93,110.82,111.65,112.3,111.46,111.27
PROV MALUKU UTARA,106.69,106.24,106.75,107.22,107.85,108.02,107.96,108.05,108.66,107.52,107.98,108.31,106.53,106.41,109.23,110.68,109.89,110.19,110.62,108.52,108.48,108.79,110.02,110.08,111.71,112.64,112.03,112.93
PROV PAPUA BARAT,105.94,106.08,106.61,106.79,108.23,107.94,108.08,108.41,107.41,106.78,107.57,107.94,105.47,103.98,106.37,106.95,106.6,107.22,108.55,107.47,108.51,108.3,109,110.74,110.76,110.04,110.1,112.3
PROV PAPUA BARAT DAYA,103.55,103.44,103.82,104.58,104.67,104.97,105.23,105.18,105.67,105.51,105.47,105.35,103.92,102.93,104.07,105.01,105.05,105.49,106.24,107.16,107.04,106.95,106.93,107.62,107.82,107.21,108.33,109.05
PROV PAPUA,103.85,103.09,102.89,104.12,104.75,105.12,104.42,104.34,103.91,104.14,105.61,105.66,104.47,103.93,105.1,105.83,106.14,106.24,105.88,104.9,104.94,104.69,106.46,108.34,107.95,108.02,108.78,109.85
PROV PAPUA SELATAN,106.61,106.7,106.52,106.87,109.01,107.8,106.81,107.08,106.29,106.3,106.58,107.9,107.09,107.03,109.38,110.69,111.4,111.03,112.63,111.13,109.93,109.95,110.19,111.08,112.26,112.92,113.32,114.39
PROV PAPUA TENGAH,107.6,106.34,107.41,108.7,110.25,110.06,110.19,109.93,109.45,109.98,110.39,110.64,108.67,108.56,111.38,112.73,112.74,112.62,113.37,111.97,111.94,112.3,113.18,114.27,113.94,113.91,114.21,114.45
PROV PAPUA PEGUNUNGAN,107.18,106.65,106.67,107.8,108.99,111.29,110.8,110.78,110.12,109.35,109.19,111.8,112.06,115.17,115.26,114.22,115.26,113.53,115.4,114.89,114.03,112.98,113.61,115.4,115.34,115.9,118.88,119.8
INDONESIA,105.19,105.58,106.13,106.4,106.37,106.28,106.09,106.06,105.93,106.01,106.33,106.8,105.99,105.48,107.22,108.47,108.07,108.27,108.6,108.51,108.74,109.04,109.22,109.92,109.75,110.5,110.95,111.09
