Daerah,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023
KOTA MEULABOH,106.2,106.09,106.64,106.41,106.89,106.69,106.59,107.53,107.69,108.03,108.02,109.12,110.03,108.99,108.37,108.95,109.81,109.74,109.96,109.93,109.28,109.96,110.49,111.38,112.44,111.46,112.23,113.6,115.03,116.56,117.86,117.47,118.04,118.27,117.54,118.69,119.59,120.06,119.27,118.44,119.13,119.69,119.95,120.02,120.56,120.92,121.19,120.38
KOTA BANDA ACEH,103.17,103.73,104.36,104.28,104.6,104.41,104.06,104.52,104.19,104.84,105.04,105.93,106.75,106.15,105.67,106.23,106.41,106.36,106.21,106.49,106.35,106.75,107.68,108.48,109.58,109.21,109.85,111.2,112.22,113.07,114.18,113.81,114.7,114.14,114.26,114.99,115.69,116.35,115.69,115.9,116.05,116.12,116.47,116.15,116.31,116.02,116.46,116.75
KOTA LHOKSEUMAWE,103.04,103.54,104.2,103.9,103.95,103.88,103.52,103.83,104.08,104.95,105.27,106.61,107.46,106.71,106.61,107.06,107.26,107.18,107.11,106.88,106.71,107.19,108.07,108.71,109.93,108.84,109.77,111.14,112.28,112.79,113.32,112.21,113.22,113.26,112.85,114.55,115.41,116,115.64,115.15,115.74,115.82,115.77,115.8,116.11,115.98,116.2,116.34
KOTA SIBOLGA,103.87,104.59,103.76,103.07,103.25,103.38,103.06,103.05,103.35,104.43,104.79,106.17,106.96,106.23,105.92,106.29,105.97,106.3,106.96,107.01,107.35,107.47,107.97,108.15,109.81,109.58,110.6,111.02,111.96,113.21,114.42,114.4,114.78,113.53,113.47,115.1,116.78,117.15,116.38,116.69,116.88,117.6,118.01,118.16,118.68,118.45,118.22,118.32
KOTA PEMATANG SIANTAR,103.33,103.45,103.33,102.92,103.3,103.17,102.39,102.59,102.89,103.36,104.02,105.55,106.76,106.27,106.03,106.08,106.17,106.41,106.38,106.31,106.64,106.26,106.88,107.79,108.83,109.03,109.87,110.3,110.98,112.49,112.53,111.64,113.32,112.71,112.62,114.43,115.55,115.5,115.15,114.86,115.38,115.98,116.1,115.97,116.15,115.98,116.41,117.06
KOTA MEDAN,102.95,103.09,102.89,102.6,103.03,102.94,102.72,102.76,102.71,103.17,103.48,104.15,104.55,104.21,104.18,104.22,104.47,104.5,104.82,104.71,105.03,104.98,105.46,105.92,107.02,106.72,107.45,107.91,108.73,110.24,110.54,110.26,111.34,110.82,110.68,112.38,113.35,112.92,112.58,112.36,112.63,112.96,113.28,113.21,113.64,113.59,114.15,114.84
KOTA PADANGSIDIMPUAN,104.02,104.01,104.56,104.6,105.4,105.38,105.12,105.19,105.06,105.61,106.02,107.08,107.49,107.19,106.58,107.23,107.56,107.28,107.47,107.72,107.77,107.83,108.3,108.68,109.66,110.07,111.29,112.16,113.02,114.48,115.15,114.79,115.93,115.22,114.91,115.64,116.98,117.47,117.27,117.22,117.79,118.04,118.58,118.42,119,118.79,118.8,119.05
KOTA GUNUNGSITOLI,103.74,102.98,103.42,102.69,103.07,103.3,103.29,103.92,104.96,105.71,105.87,107.85,109.02,107.33,106.75,107.38,107.07,106.77,107.33,107.22,107.08,107,107.76,108.43,109.44,109.91,110.34,110.58,110.63,113.64,115.7,114.05,114.75,113.05,112.63,114.65,116.79,115.65,114.6,114.12,114.55,114.79,116.28,116.43,116.87,116.31,117.11,117.35
KOTA PADANG,103.86,103.56,103.54,103.05,103.73,103.56,103.45,103.54,103.49,104.1,104.64,105.38,105.49,105.05,105.39,105.34,105.54,105.37,105.27,105.16,105.2,105.57,106.31,106.82,107.92,108.02,108.8,109.45,110.96,112.25,113.77,112.67,114.18,113.93,113.59,114.7,115.22,115.37,115.26,115.23,115.69,115.65,116.22,116.3,116.38,116.52,117.22,117.62
KOTA BUKITTINGGI,102.99,103.46,103.53,103.59,103.99,103.85,103.44,103.26,103.25,104.02,104.41,104.82,105.13,105.01,105.34,105.54,105.81,105.53,105.5,105.22,105.78,106.21,106.63,106.59,107.6,107.5,108.77,109.97,111.68,113.11,113.38,112.35,114.45,114.16,114.11,114.86,115.31,115.42,115.38,115.45,115.66,115.76,116.18,116.08,116.85,116.78,117.18,117.02
TEMBILAHAN,103.3,103.62,103.58,104.03,104.68,105.86,105.07,105.06,104.83,105.37,105.9,106.26,106.58,106.47,106.4,106.81,106.82,106.48,106.38,105.93,106.36,106.76,107.11,107.42,108.89,108.04,109.32,109.92,110.96,111.84,112.86,111.1,112.09,111.31,111.54,112.6,113.19,113.34,113.13,113.6,113.75,113.78,114.24,113.62,113.72,113.58,114.19,114.32
KOTA PEKANBARU,103.01,103.39,103.4,103.05,103.5,103.56,103.35,103.43,103.44,104.05,104.37,104.9,105.39,105.04,105.2,105.31,105.27,105.28,105.61,105.54,105.74,106.05,106.46,106.53,107.29,107.75,108.75,109.37,110.17,112.37,113.36,111.95,113.7,112.88,112.99,114.03,114.75,114.97,114.77,114.76,114.78,115.01,115.43,115.38,115.77,115.81,116.63,116.88
KOTA DUMAI,103.52,103.74,103.69,103.49,104.47,104.59,104.32,104.27,104.25,104.71,105.1,105.94,106.37,105.97,105.93,106.18,106.87,106.89,107.13,106.85,106.96,107.45,107.84,107.7,108.43,108.02,108.73,109.54,111.19,112.93,113.57,112.38,114.14,113.47,113.66,114.66,115.62,115.55,115.53,115.34,115.65,115.98,116.82,116.69,117.3,116.95,117.88,117.85
BUNGO,104.3,104.68,104.09,103.79,104.3,104.55,104.19,104.25,104.27,104.89,105.35,105.94,106.47,105.98,106.35,106.07,106.29,105.88,106.09,105.88,105.75,106.57,107.21,107.69,109.19,108.77,109.97,111.34,112.35,113.96,115.16,113.5,114.75,113.44,113.42,114.19,115.07,115.25,115.11,115.42,115.59,115.73,116.08,115.69,116.09,116.14,117.08,117.44
KOTA JAMBI,103.89,104.67,103.99,103.3,103.6,103.96,103.91,103.94,104.07,104.87,105.47,106.23,106.95,106.45,106.8,106.43,106.85,106.64,106.42,105.95,106.27,106.96,107.48,108,109.22,108.29,109.75,111.43,112.3,114.04,115.52,114.18,114.81,114.63,114,114.9,115.94,115.69,115.5,115.66,116.25,116.33,116.9,116.37,116.85,117.43,118.36,118.66
KOTA PALEMBANG,103.71,103.98,104.02,103.89,104.03,104.23,103.94,103.58,103.53,103.7,104.02,104.62,105.07,104.99,105.17,105.52,105.5,105.49,105.43,105.39,105.44,105.51,106.1,106.55,107.55,107.54,108.29,109.33,110.22,111.21,112.06,111.11,112.53,112.42,112.36,112.89,113.29,113.39,113.63,114.01,113.95,114.4,114.73,114.68,115.11,115.72,116.36,116.53
KOTA LUBUKLINGGAU,103.43,103.83,103.9,103.45,103.86,104.18,103.99,103.88,103.92,104.31,104.67,105.08,105.4,105.29,105.26,105.6,105.96,105.88,105.76,105.54,105.78,106.11,106.42,106.79,107.68,107.63,108.34,109.29,110.36,111.3,112.06,111.5,112.66,112.46,112.36,113.02,113.4,113.44,113.56,113.96,114.11,114.39,114.74,114.69,115.08,115.3,115.68,115.97
KOTA BENGKULU,103.56,103.65,103.63,103.27,103.69,103.73,103.49,103.72,103.8,103.82,104.18,104.33,104.74,104.89,105.13,105.24,105.36,105.69,105.56,105.73,105.91,105.89,106.44,106.85,107.43,107.32,108.11,109.68,110.26,110.92,111.93,111.66,113.02,112.86,112.92,113.18,113.88,113.92,114.22,114.54,114.74,114.98,115.54,115.46,115.73,116.05,116.4,116.68
KOTA BANDAR LAMPUNG,105.25,105.71,105.25,105.08,104.78,104.81,105.16,105.59,105.32,105.56,105.65,106.36,107.21,107.34,107.14,106.95,107.05,107.26,107.41,106.84,106.92,107,107.57,108.63,109.04,108.6,109.61,110.5,111.14,112.5,113.34,112.95,114.48,113.91,113.92,114.63,115.57,115.76,115.84,116.19,116.06,116.26,116.29,116.69,117.08,117.41,118.64,118.66
KOTA METRO,104.88,105.08,105.36,105.12,104.75,105.02,105.14,105.2,105.3,105.35,105.77,106.31,106.87,107.18,106.83,106.68,107.36,107.43,107.71,107.41,107.29,107.63,108.15,109.22,109.82,109.6,110.54,111.9,112.62,113.82,114.48,113.4,114.54,114.31,114.37,115.09,115.97,116.16,115.9,116.25,116.54,116.55,116.83,116.75,117.14,117.66,118.64,118.6
TANJUNG PANDAN,104.92,103.66,103.53,103.33,104.57,104.85,105.12,104.42,104.63,105.1,105.07,106.64,107.74,108.04,107.85,107.83,108.39,108.78,109.02,109.32,109.74,109.26,109.67,110.92,111.52,109.2,110.61,113.46,116,115.97,117.27,115.34,115.8,114.64,113.91,115.54,117.52,117.21,118.03,118.25,119.76,119.72,120.42,119.94,121.63,120.87,120.62,119.93
KOTA PANGKAL PINANG,104.04,103.33,103.26,102.31,102.83,103.04,103.1,102.47,102.52,102.19,102.71,103.44,104.65,104.3,104.18,104.49,104.73,104.97,104.63,104.35,104.98,105.01,105.82,107.16,108.47,107.89,109.08,111.06,112,111.75,112.88,111.52,112.68,112.34,112.55,113.66,113.55,113.2,113.49,114.15,114.16,114.62,114.95,115.02,115.72,115.58,115.64,115.94
