Date,Open,High,Low,Close
1/31/2015,7.793,7.994,7.041,7.041
2/28/2015,7.069,7.452,6.842,6.902
3/31/2015,6.905,7.726,6.905,7.411
4/30/2015,7.411,7.818,7.211,7.692
5/31/2015,7.74,8.251,7.702,8.166
6/30/2015,8.186,8.715,8.172,8.38
7/31/2015,8.38,8.659,8.249,8.603
8/31/2015,8.539,9.021,8.456,8.786
9/30/2015,8.786,9.798,8.767,9.624
10/31/2015,9.624,9.624,8.522,8.803
11/30/2015,8.879,8.908,8.542,8.605
12/31/2015,8.605,9.151,8.445,8.889
1/31/2016,8.85,8.873,8.277,8.277
2/29/2016,8.159,8.269,7.919,8.249
3/31/2016,8.249,8.252,7.604,7.713
4/30/2016,7.713,7.72,7.397,7.715
5/31/2016,7.631,7.929,7.622,7.865
6/30/2016,7.865,7.876,7.459,7.462
7/31/2016,7.462,7.483,6.944,6.944
8/31/2016,6.939,7.166,6.778,7.138
9/30/2016,7.138,7.138,6.856,7.069
10/31/2016,7.097,7.265,6.995,7.259
11/30/2016,7.259,8.372,7.232,8.184
12/31/2016,8.184,8.185,7.533,7.941
1/31/2017,7.923,7.967,7.489,7.638
2/28/2017,7.638,7.657,7.493,7.542
3/31/2017,7.542,7.557,7.024,7.029
4/30/2017,7.019,7.125,7.012,7.031
5/31/2017,7.014,7.218,6.929,6.951
6/30/2017,6.951,6.951,6.746,6.811
7/31/2017,6.829,7.218,6.778,6.948
8/31/2017,6.948,6.948,6.679,6.683
9/30/2017,6.665,6.67,6.264,6.496
10/31/2017,6.434,6.86,6.434,6.805
11/30/2017,6.805,6.805,6.505,6.511
12/31/2017,6.49,6.564,6.307,6.307
1/31/2018,6.256,6.388,6.048,6.318
2/28/2018,6.318,6.615,6.213,6.595
3/31/2018,6.595,6.93,6.544,6.669
4/30/2018,6.639,7.191,6.549,6.906
5/31/2018,6.906,7.616,6.905,7.045
6/30/2018,6.934,7.823,6.934,7.803
7/31/2018,7.739,7.891,7.356,7.755
8/31/2018,7.756,8.127,7.612,8.127
9/30/2018,8.191,8.648,8.092,8.208
10/31/2018,8.012,8.875,8.012,8.601
11/30/2018,8.603,8.603,7.866,7.866
12/31/2018,7.832,8.278,7.825,7.982
1/31/2019,7.997,8.166,7.837,8.051
2/28/2019,8.025,8.029,7.736,7.801
3/31/2019,7.799,7.983,7.561,7.66
4/30/2019,7.623,7.801,7.551,7.801
5/31/2019,7.784,8.101,7.784,8.023
6/30/2019,7.917,7.917,7.329,7.369
7/31/2019,7.381,7.383,7.093,7.378
8/31/2019,7.377,7.729,7.227,7.354
9/30/2019,7.371,7.371,7.182,7.296
10/31/2019,7.303,7.308,7.104,7.111
11/30/2019,7.118,7.199,7.048,7.179
12/31/2019,7.245,7.458,7.141,7.194
1/31/2020,7.174,7.242,6.694,6.733
2/29/2020,6.749,7.006,6.596,6.965
3/31/2020,7.068,8.444,6.623,7.998
4/30/2020,7.999,8.297,7.841,8.016
5/31/2020,7.97,8.243,7.323,7.434
6/30/2020,7.41,7.41,7.056,7.312
7/31/2020,7.319,7.336,6.903,6.909
8/31/2020,6.896,6.998,6.785,6.949
9/30/2020,6.946,7.098,6.936,7.028
10/31/2020,7.049,7.055,6.681,6.691
11/30/2020,6.699,6.71,6.233,6.255
12/31/2020,6.277,6.301,5.948,5.984
1/31/2021,6.002,6.367,5.973,6.311
2/28/2021,6.288,6.749,6.198,6.67
3/31/2021,6.659,6.917,6.629,6.886
4/30/2021,6.873,6.873,6.492,6.561
5/31/2021,6.545,6.597,6.459,6.529
6/30/2021,6.516,6.708,6.404,6.692
7/31/2021,6.683,6.689,6.37,6.384
8/31/2021,6.377,6.464,6.155,6.155
9/30/2021,6.124,6.422,6.103,6.421
10/31/2021,6.418,6.458,6.212,6.25
11/30/2021,6.271,6.353,6.234,6.329
12/31/2021,6.32,6.527,6.32,6.445
1/31/2022,6.447,6.556,6.376,6.538
2/28/2022,6.503,6.652,6.503,6.607
3/31/2022,6.608,6.917,6.605,6.85
4/30/2022,6.853,7.169,6.845,7.095
5/31/2022,7.11,7.55,7.11,7.145
6/30/2022,7.144,7.657,7.02,7.356
7/31/2022,7.343,7.619,7.286,7.298
8/31/2022,7.221,7.368,7.048,7.233
9/30/2022,7.246,7.542,7.199,7.495
10/31/2022,7.478,7.784,7.285,7.651
11/30/2022,7.655,7.655,7.04,7.047
12/31/2022,7.053,7.099,6.924,7.036
1/31/2023,7.04,7.164,6.694,6.804
2/28/2023,6.804,6.99,6.638,6.99
3/31/2023,6.993,7.165,6.812,6.901
4/30/2023,6.896,6.896,6.593,6.613
5/31/2023,6.604,6.606,6.443,6.467
6/30/2023,6.459,6.474,6.328,6.339
7/31/2023,6.304,6.373,6.236,6.338
8/31/2023,6.337,6.819,6.325,6.461
9/30/2023,6.457,7.008,6.452,7.008
10/31/2023,7.027,7.395,6.835,7.168
11/30/2023,7.17,7.176,6.686,6.7
12/31/2023,6.706,6.853,6.562,6.562
1/31/2024,6.572,6.839,6.572,6.685
2/29/2024,6.663,6.736,6.604,6.704
3/31/2024,6.71,6.828,6.709,6.791
4/30/2024,6.788,7.386,6.713,7.348
5/31/2024,7.339,7.346,6.863,7.037
6/30/2024,7.038,7.326,6.937,7.151
7/31/2024,7.174,7.225,6.963,7.002
8/31/2024,7,7,6.67,6.727
9/30/2024,6.736,6.768,6.512,6.531
10/31/2024,6.541,6.959,6.541,6.902
11/30/2024,6.87,7.036,6.812,6.965
12/31/2024,6.997,7.207,6.965,7.137
1/31/2025,7.118,7.44,7.042,7.102
2/28/2025,7.149,7.193,6.853,7.019
3/31/2025,7.034,7.341,6.956,7.101
4/30/2025,7.259,7.344,6.943,6.943
