Date,Open,High,Low,Close
2024-04-30,7.089,7.257,6.676,7.173
2024-05-31,7.173,7.186,6.717,6.795
2024-06-30,6.807,6.938,6.749,6.749
2024-07-31,6.768,6.835,6.696,6.696
2024-08-31,6.682,6.707,6.377,6.409
2024-09-30,6.52,6.529,6.199,6.199
2024-10-31,6.249,6.618,6.249,6.581
2024-11-30,6.581,6.725,6.245,6.325
2024-12-31,6.322,6.727,6.308,6.622
2025-01-31,6.622,7.119,6.54,6.971
2025-02-28,6.968,7.087,6.903,6.903
2025-03-31,6.903,7.003,6.847,6.943
2025-04-30,6.931,6.931,6.731,6.731
2025-05-31,6.728,6.792,6.69,6.756
2025-06-30,6.751,6.751,6.154,6.22
2025-07-31,6.216,6.216,6.094,6.106
2025-08-31,6.102,6.102,6.05,6.05
2025-09-30,5.986,5.986,5.17,5.287
2025-10-31,5.266,5.297,4.926,5.038
2025-11-30,5.063,5.302,4.95,5.302
2025-12-31,5.325,5.402,5.235,5.235
2026-01-31,5.25,5.366,5.101,5.124
2026-02-28,5.116,5.137,5.092,5.125
2026-03-31,5.095,6.516,4.732,6.384
2026-04-30,6.62,6.62,6.072,6.55
2026-05-31,6.548,6.548,6.539,6.539
