Date,Open,High,Low,Close
2010-01-31,0.0001063,0.0001102,0.0001063,0.00010726
2010-02-28,0.00010781,0.00010801,0.00010556,0.00010747
2010-03-31,0.00010701,0.00011032,0.00010701,0.00011032
2010-04-30,0.00010967,0.00011218,0.00010967,0.00011143
2010-05-31,0.00011019,0.00011081,0.00010638,0.00010777
2010-06-30,0.00010629,0.00011106,0.00010629,0.00011035
2010-07-31,0.00011078,0.00011213,0.00010962,0.00011109
2010-08-31,0.00011225,0.00011363,0.00011043,0.00011047
2010-09-30,0.00011108,0.00011303,0.00011017,0.00011191
2010-10-31,0.00011261,0.00011291,0.0001103,0.00011121
2010-11-30,0.00011263,0.00011374,0.00010949,0.0001097
2010-12-31,0.00011103,0.00011189,0.00011018,0.00011178
2011-01-31,0.00011047,0.0001119,0.00010949,0.00011024
2011-02-28,0.00011089,0.00011336,0.00011055,0.00011336
2011-03-31,0.00011344,0.00011496,0.00011255,0.00011483
2011-04-30,0.00011495,0.00011677,0.00011495,0.00011677
2011-05-31,0.00011697,0.00011727,0.00011638,0.00011711
2011-06-30,0.00011718,0.00011754,0.00011604,0.00011664
2011-07-31,0.00011704,0.00011783,0.00011671,0.00011771
2011-08-31,0.00011821,0.00011865,0.00011667,0.00011718
2011-09-30,0.00011718,0.00011718,0.00011037,0.0001108
2011-10-31,0.00011111,0.00011366,0.00011071,0.00011281
2011-11-30,0.00011173,0.00011194,0.000108,0.0001088
2011-12-31,0.00011039,0.00011138,0.00010836,0.0001087
2012-01-31,0.0001101,0.00011201,0.00010803,0.00011169
2012-02-29,0.00011204,0.00011206,0.00010955,0.00011102
2012-03-31,0.0001102,0.00011103,0.00010876,0.00010883
2012-04-30,0.00011103,0.00011105,0.00010874,0.00010884
2012-05-31,0.00010834,0.00010839,0.00010323,0.00010323
2012-06-30,0.00010262,0.00010683,0.00010262,0.00010625
2012-07-31,0.0001061,0.00010651,0.00010512,0.00010542
2012-08-31,0.00010539,0.00010564,0.0001042,0.00010435
2012-09-30,0.00010438,0.00010562,0.00010419,0.00010447
2012-10-31,0.00010417,0.00010475,0.00010327,0.00010459
2012-11-30,0.00010349,0.00010497,0.00010281,0.00010428
2012-12-31,0.00010443,0.00010443,0.00010243,0.00010248
2013-01-31,0.00010271,0.00010436,0.00010075,0.00010317
2013-02-28,0.000104,0.000104,0.00010156,0.000102
2013-03-31,0.00010137,0.00010348,0.00010068,0.0001032
2013-04-30,0.00010284,0.00010449,0.00010218,0.00010268
2013-05-31,0.00010279,0.00010341,0.000102,0.00010312
2013-06-30,0.00010312,0.00010517,9.828E-5,0.00010108
2013-07-31,9.831E-5,0.00010328,9.73E-5,9.73E-5
2013-08-31,9.728E-5,9.77E-5,9.03E-5,9.03E-5
2013-09-30,9.012E-5,9.05E-5,8.641E-5,8.641E-5
2013-10-31,8.649E-5,9.047E-5,8.649E-5,8.869E-5
2013-11-30,8.806E-5,8.942E-5,8.358E-5,8.358E-5
2013-12-31,8.405E-5,8.511E-5,8.092E-5,8.171E-5
2014-01-31,8.189E-5,8.482E-5,8.177E-5,8.18E-5
2014-02-28,8.224E-5,8.592E-5,8.224E-5,8.533E-5
2014-03-31,8.597E-5,8.855E-5,8.597E-5,8.798E-5
2014-04-30,8.811E-5,8.877E-5,8.603E-5,8.655E-5
2014-05-31,8.64E-5,8.767E-5,8.463E-5,8.6E-5
2014-06-30,8.533E-5,8.533E-5,8.243E-5,8.328E-5
2014-07-31,8.434E-5,8.719E-5,8.38E-5,8.643E-5
2014-08-31,8.631E-5,8.631E-5,8.275E-5,8.549E-5
2014-09-30,8.535E-5,8.535E-5,8.144E-5,8.144E-5
2014-10-31,8.189E-5,8.338E-5,8.146E-5,8.213E-5
2014-11-30,8.169E-5,8.292E-5,8.169E-5,8.175E-5
2014-12-31,8.183E-5,8.183E-5,7.73E-5,8.046E-5
2015-01-31,8.026E-5,8.066E-5,7.659E-5,7.946E-5
2015-02-28,7.892E-5,7.942E-5,7.726E-5,7.798E-5
2015-03-31,7.725E-5,7.769E-5,7.499E-5,7.5798E-5
2015-04-30,7.647E-5,7.854E-5,7.603E-5,7.846E-5
2015-05-31,7.623E-5,7.725E-5,7.49E-5,7.627E-5
2015-06-30,7.497E-5,7.602E-5,7.424E-5,7.4679E-5
2015-07-31,7.451E-5,7.565E-5,7.387E-5,7.441E-5
2015-08-31,7.362E-5,7.538E-5,7.21E-5,7.311E-5
2015-09-30,7.095E-5,7.095E-5,6.804E-5,6.8252E-5
2015-10-31,6.819E-5,7.46E-5,6.819E-5,7.3057E-5
2015-11-30,7.32E-5,7.379E-5,7.2278E-5,7.2278E-5
2015-12-31,7.256E-5,7.3301E-5,7.104E-5,7.2539E-5
2016-01-31,7.1872E-5,7.2605E-5,7.1644E-5,7.2605E-5
2016-02-29,7.3293E-5,7.4806E-5,7.2637E-5,7.4784E-5
2016-03-31,7.4912E-5,7.66E-5,7.4643E-5,7.5403E-5
2016-04-30,7.5982E-5,7.6258E-5,7.5644E-5,7.5845E-5
2016-05-31,7.5876E-5,7.5876E-5,7.305E-5,7.3184E-5
2016-06-30,7.3207E-5,7.5978E-5,7.3207E-5,7.5665E-5
2016-07-31,7.6095E-5,7.6411E-5,7.5934E-5,7.6341E-5
2016-08-31,7.6514E-5,7.6514E-5,7.5315E-5,7.5393E-5
2016-09-30,7.5358E-5,7.7245E-5,7.5358E-5,7.6594E-5
2016-10-31,7.7034E-5,7.7059E-5,7.6471E-5,7.6659E-5
2016-11-30,7.6583E-5,7.6583E-5,7.3682E-5,7.3793E-5
2016-12-31,7.3797E-5,7.5257E-5,7.3797E-5,7.4209E-5
2017-01-31,7.4229E-5,7.5228E-5,7.4229E-5,7.4883E-5
2017-02-28,7.4787E-5,7.5171E-5,7.4781E-5,7.4972E-5
2017-03-31,7.4858E-5,7.5124E-5,7.4699E-5,7.505E-5
2017-04-30,7.5055E-5,7.5437E-5,7.4985E-5,7.5016E-5
2017-05-31,7.5142E-5,7.5217E-5,7.4864E-5,7.506E-5
2017-06-30,7.506E-5,7.5289E-5,7.5029E-5,7.5039E-5
2017-07-31,7.4809E-5,7.5145E-5,7.4606E-5,7.5047E-5
2017-08-31,7.5052E-5,7.5116E-5,7.4742E-5,7.4957E-5
2017-09-30,7.4956E-5,7.5973E-5,7.3993E-5,7.4249E-5
2017-10-31,7.3869E-5,7.4275E-5,7.3436E-5,7.3733E-5
2017-11-30,7.3797E-5,7.4088E-5,7.3781E-5,7.3933E-5
2017-12-31,7.3934E-5,7.3975E-5,7.3609E-5,7.3705E-5
2018-01-31,7.398E-5,7.5252E-5,7.398E-5,7.4692E-5
2018-02-28,7.4477E-5,7.4477E-5,7.2751E-5,7.2751E-5
2018-03-31,7.275E-5,7.28E-5,7.2545E-5,7.2647E-5
2018-04-30,7.266E-5,7.2725E-5,7.1839E-5,7.1877E-5
2018-05-31,7.1695E-5,7.1737E-5,7.0387E-5,7.1481E-5
2018-06-30,7.1969E-5,7.2191E-5,6.9489E-5,6.9784E-5
2018-07-31,6.9541E-5,6.9807E-5,6.8822E-5,6.9351E-5
2018-08-31,6.9251E-5,6.9394E-5,6.7887E-5,6.7887E-5
2018-09-30,6.75E-5,6.7545E-5,6.6956E-5,6.7122E-5
2018-10-31,6.7074E-5,6.7074E-5,6.5638E-5,6.578E-5
2018-11-30,6.6879E-5,6.9919E-5,6.6774E-5,6.9919E-5
2018-12-31,7.0225E-5,7.0225E-5,6.8493E-5,6.9543E-5
2019-01-31,6.9204E-5,7.157E-5,6.9204E-5,7.157E-5
2019-02-28,7.1734E-5,7.1829E-5,7.0709E-5,7.1099E-5
2019-03-31,7.0847E-5,7.0847E-5,6.9887E-5,7.0225E-5
2019-04-30,7.0298E-5,7.1207E-5,7.0176E-5,7.0176E-5
2019-05-31,7.0176E-5,7.0176E-5,6.8848E-5,7.0066E-5
2019-06-30,7.0174E-5,7.0799E-5,6.976E-5,7.0771E-5
2019-07-31,7.0855E-5,7.1841E-5,7.0721E-5,7.1343E-5
