Date,Open,High,Low,Close,Volume
1/31/2010,2533.95,2689.78,2532.9,2610.8,0
2/28/2010,2610.59,2613.67,2431.84,2549.03,0
3/31/2010,2548.83,2818.94,2545.89,2777.3,0
4/30/2010,2777.7,2972.92,2777.7,2971.25,0
5/31/2010,2971.75,2996.42,2502.05,2796.96,0
6/30/2010,2796.66,2981.28,2698.28,2913.68,0
7/31/2010,2912.88,3104.08,2860.91,3069.28,0
8/31/2010,3070.28,3150.16,2959.75,3081.88,0
9/30/2010,3081.49,3524.32,3081.49,3501.3,0
10/31/2010,3501.2,3667.01,3501.2,3635.32,0
11/30/2010,3635.52,3777.92,3529.85,3531.21,0
12/31/2010,3530.93,3788.57,3530.93,3703.51,0
1/31/2011,3704.44,3789.47,3309.62,3409.17,0
2/28/2011,3411.08,3521.63,3336.83,3470.35,0
3/31/2011,3470.63,3683.47,3465.61,3678.67,0
4/30/2011,3679.05,3824.07,3671.18,3819.62,0
5/31/2011,3819.8,3872.95,3760.79,3836.97,0
6/30/2011,3837.18,3896.16,3704.58,3888.57,0
7/31/2011,3888.2,4177.74,3888.2,4130.8,0
8/31/2011,4131.73,4195.72,3590.94,3841.73,0
9/30/2011,3842.65,4028.48,3217.95,3549.03,0
10/31/2011,3548.12,3875.11,3256.44,3790.85,0
11/30/2011,3790.12,3859.1,3618.97,3715.08,0
12/31/2011,3715.44,3825.96,3666.25,3821.99,0
1/31/2012,3821.63,4038.79,3797,3941.69,0
2/29/2012,3941.78,4040.08,3838.54,3985.21,0
3/31/2012,3985.03,4129.33,3929.19,4121.55,0
4/30/2012,4121.82,4232.92,4109.32,4180.73,0
5/31/2012,4181.09,4234.73,3810.39,3832.82,0
6/30/2012,3820.38,3971.09,3635.28,3955.58,0
7/31/2012,3976.71,4149.71,3963.47,4142.34,0
8/31/2012,4129.81,4183.03,3978.08,4060.33,0
9/30/2012,4052.89,4272.83,4047.28,4262.56,0
10/31/2012,4249.69,4366.86,4214.52,4350.29,0
11/30/2012,4331.75,4381.75,4255.27,4276.14,0
12/31/2012,4277.19,4340.26,4222.13,4316.69,0
1/31/2013,4322.58,4472.11,4298.61,4453.7,0
2/28/2013,4458.6,4795.79,4457.45,4795.79,0
3/31/2013,4798.49,4940.99,4721.32,4940.99,0
4/30/2013,4927.12,5034.07,4856.3,5034.07,0
5/31/2013,5020.2,5251.3,4907.6,5068.63,0
6/30/2013,5053.55,5055.83,4373.38,4818.9,0
7/31/2013,4757.18,4815.73,4403.8,4610.38,0
8/31/2013,4618.96,4699.73,3837.74,4195.09,0
9/30/2013,4196.72,4791.77,4012.68,4316.18,0
10/31/2013,4314.96,4611.26,4314.96,4510.63,0
11/30/2013,4473.73,4518.65,4202.92,4256.44,0
12/31/2013,4269.08,4331.59,4109.31,4274.18,0
1/31/2014,4294.5,4510.22,4161.19,4418.76,0
2/28/2014,4407,4665.27,4320.78,4620.22,0
3/31/2014,4589.62,4903.5,4567.76,4768.28,0
4/30/2014,4796.16,4933.11,4721.6,4840.15,0
5/31/2014,4845.34,5091.32,4828.22,4893.91,0
6/30/2014,4900.97,4971.95,4835.04,4878.58,0
7/31/2014,4877.65,5165.42,4862.42,5088.8,0
8/31/2014,5076.23,5223.98,5043.52,5136.86,0
9/30/2014,5159.94,5262.57,5082.73,5137.58,0
10/31/2014,5148.57,5165.39,4900.72,5089.55,0
11/30/2014,5102.54,5157.08,4965.39,5149.89,0
12/31/2014,5150.38,5226.95,5005.27,5226.95,0
