Sektor,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
"Pertanian, Kehutanan, dan Perikanan","1.195.354,00","1.429.297,00","1.751.410,00","1.761.849,00","2.051.084,00","2.071.202,00","1.931.833,00","1.937.650,00","2.062.328,00","2.236.045,00","2.247.459,00","2.425.085,00"
Pertambangan dan Penggalian,"3.425.991,00","4.241.129,00","4.314.074,00","4.127.245,00","5.029.621,00","5.099.655,00","4.293.907,00","4.334.853,00","4.591.764,00","4.944.886,00","5.086.094,00","4.947.483,00"
Industri,"1.607.667,00","2.016.981,00","2.467.629,00","2.478.868,00","2.653.268,00","2.817.234,00","2.876.185,00","2.849.199,00","2.963.061,00","3.026.413,00","3.090.532,00","3.289.621,00"
"Penyediaan Listrik, Gas, Uap/Air Panas, dan Udara Dingin","2.558.819,00","2.810.096,00","4.193.189,00","3.416.517,00","3.759.261,00","3.988.936,00","4.158.315,00","4.606.191,00","4.261.802,00","4.853.131,00","5.040.313,00","4.735.035,00"
"Penyediaan Air, Pengelolaan Air Limbah, Penanganan Limbah, dan Remediasi","1.336.172,00","2.197.744,00","3.552.848,00","2.892.345,00","2.511.849,00","2.698.415,00","2.716.611,00","2.720.543,00","2.605.373,00","2.692.899,00","2.906.210,00","2.803.273,00"
Konstruksi,"2.071.807,00","2.171.399,00","2.485.373,00","2.628.165,00","2.845.966,00","2.979.230,00","2.816.178,00","2.986.501,00","3.050.337,00","2.945.227,00","3.209.091,00","3.347.252,00"
Perdagangan Besar dan Eceran,"1.602.298,00","1.743.901,00","2.173.100,00","2.160.642,00","2.321.086,00","2.434.107,00","2.433.665,00","2.516.326,00","2.496.098,00","2.544.248,00","2.667.185,00","2.850.124,00"
Transportasi dan Penyimpanan,"2.589.588,00","2.545.167,00","3.133.390,00","3.172.077,00","3.416.587,00","3.598.904,00","3.320.575,00","3.411.270,00","3.583.428,00","3.631.764,00","3.720.086,00","3.977.182,00"
Penyediaan Akomodasi dan Penyediaan Makan Minum,"1.552.505,00","1.803.323,00","2.101.853,00","2.098.481,00","2.279.477,00","2.287.590,00","2.059.825,00","2.121.425,00","2.145.400,00","2.240.980,00","2.424.447,00","2.588.787,00"
Aktivitas Penerbitan dan Telekomunikasi,"4.045.308,00","3.214.073,00","4.388.423,00","4.059.364,00","4.047.803,00","4.075.263,00","4.047.396,00","4.861.050,00","4.365.911,00","4.736.936,00","4.131.648,00","4.752.543,00"
Aktivitas Keuangan dan Asuransi,"3.164.760,00","3.219.839,00","4.085.723,00","4.134.866,00","4.107.387,00","4.151.175,00","4.144.629,00","4.680.539,00","4.811.289,00","5.154.872,00","4.878.087,00","5.053.928,00"
Aktivitas Real Estat,"2.568.532,00","3.502.666,00","3.244.605,00","3.073.709,00","3.383.495,00","3.470.621,00","3.390.567,00","4.202.230,00","4.824.840,00","4.313.920,00","4.042.854,00","4.046.989,00"
"Aktivitas Profesional, Ilmiah, dan Teknis dan Aktivitas Administratif dan Penunjang Usaha","2.547.195,00","2.624.399,00","3.156.834,00","3.127.060,00","3.276.406,00","3.391.160,00","3.249.741,00","3.508.000,00","3.553.175,00","3.725.742,00","3.965.419,00","3.972.415,00"
"Administrasi Pemerintahan dan Pertahanan, serta Jaminan Sosial Wajib","3.133.679,00","3.155.748,00","3.913.892,00","3.808.741,00","3.756.932,00","3.980.906,00","4.026.068,00","3.955.514,00","3.880.060,00","3.670.645,00","3.758.174,00","4.023.211,00"
Pendidikan,"2.267.414,00","2.309.992,00","2.920.144,00","2.710.224,00","2.672.860,00","2.744.687,00","2.692.517,00","2.517.463,00","2.473.647,00","2.843.321,00","2.794.131,00","2.924.306,00"
Aktivitas Kesehatan Manusia dan Aktivitas Sosial,"2.358.443,00","2.439.348,00","2.937.889,00","2.968.612,00","3.321.344,00","3.354.439,00","3.379.436,00","3.369.762,00","3.556.947,00","3.350.737,00","3.415.963,00","3.751.936,00"
"Kesenian, Aktivitas Jasa Lainnya, Aktivitas Rumah Tangga, dan Aktivitas Badan Internasional","982.138,00","1.320.976,00","1.566.999,00","1.435.939,00","1.678.897,00","1.707.745,00","1.671.870,00","1.725.514,00","1.790.306,00","1.744.402,00","1.808.930,00","2.002.938,00"
Rata-rata,"1.981.725,00","2.180.577,00","2.702.590,00","2.654.070,00","2.791.517,00","2.917.497,00","2.860.630,00","2.892.537,00","2.944.541,00","3.040.719,00","3.094.818,00","3.287.675,00"
