age,exposure_male,dx_male,expectedlife_male,qx_male,px_male,exposure_female,dx_female,expectedlife_female,qx_female,px_female,2018_A/E_LK,2018_A/E_PR,2019_A/E_LK,2019_A/E_PR,2020_A/E_LK,2020_A/E_PR,2021_A/E_LK,2021_A/E_PR,2022_A/E_LK,2022_A/E_PR
0,"7,044,346","100,111",73.74,0.009791,0.990209,"6,335,621","70,861",78.37,0.007880,0.992120,235%,210%,249%,243%,276%,280%,241%,242%,268%,276%
1,"7,306,875","11,879",73.47,0.002526,0.997474,"6,503,947","9,232",77.99,0.002096,0.997904,119%,117%,119%,125%,103%,111%,73%,82%,76%,90%
2,"7,871,143","7,073",72.65,0.001079,0.998921,"6,943,574","5,051",77.15,0.000900,0.999100,167%,159%,130%,136%,129%,124%,100%,97%,85%,91%
3,"8,419,927","6,121",71.73,0.000701,0.999299,"7,372,649","4,438",76.22,0.000580,0.999420,208%,221%,163%,173%,130%,138%,117%,110%,125%,125%
4,"8,911,682","6,551",70.78,0.000598,0.999402,"7,769,484","4,551",75.27,0.000489,0.999511,221%,213%,191%,191%,153%,155%,115%,107%,154%,166%
5,"9,358,986","5,690",69.82,0.000578,0.999422,"8,163,646","4,153",74.30,0.000470,0.999530,185%,197%,148%,149%,125%,130%,97%,102%,128%,140%
6,"9,846,267","5,614",68.86,0.000575,0.999425,"8,614,486","3,993",73.34,0.000469,0.999531,158%,158%,131%,134%,104%,107%,99%,95%,134%,141%
7,"10,243,673","5,607",67.90,0.000566,0.999434,"9,002,949","4,055",72.37,0.000465,0.999535,143%,148%,122%,115%,103%,99%,83%,87%,135%,144%
8,"10,579,001","6,020",66.94,0.000547,0.999453,"9,345,116","4,500",71.41,0.000454,0.999546,141%,138%,123%,135%,99%,105%,92%,87%,152%,159%
9,"10,841,681","5,458",65.98,0.000523,0.999477,"9,629,332","4,080",70.44,0.000440,0.999560,119%,122%,122%,112%,96%,97%,78%,75%,137%,151%
10,"11,022,771","5,512",65.01,0.000507,0.999493,"9,831,646","3,975",69.47,0.000432,0.999568,116%,112%,116%,111%,104%,96%,84%,80%,136%,133%
11,"11,133,314","5,421",64.05,0.000504,0.999496,"9,971,783","4,320",68.50,0.000437,0.999563,114%,124%,102%,109%,95%,95%,83%,85%,145%,146%
12,"11,173,337","6,047",63.08,0.000517,0.999483,"10,038,357","4,795",67.53,0.000452,0.999548,127%,125%,120%,118%,95%,97%,85%,88%,155%,163%
13,"11,172,614","5,995",62.11,0.000543,0.999457,"10,066,901","4,752",66.56,0.000473,0.999527,122%,118%,114%,109%,99%,100%,74%,76%,141%,153%
14,"11,214,073","6,286",61.14,0.000578,0.999422,"10,149,158","4,975",65.59,0.000498,0.999502,118%,113%,118%,117%,104%,104%,81%,85%,120%,131%
15,"11,302,882","7,123",60.18,0.000620,0.999380,"10,289,114","5,380",64.63,0.000527,0.999473,127%,121%,111%,112%,106%,101%,82%,80%,139%,143%
16,"11,283,282","7,962",59.22,0.000661,0.999339,"10,341,629","6,057",63.66,0.000558,0.999442,139%,124%,126%,124%,105%,101%,92%,96%,134%,144%
17,"11,419,933","7,705",58.26,0.000697,0.999303,"10,546,582","6,028",62.70,0.000590,0.999410,131%,129%,115%,113%,101%,96%,91%,85%,127%,133%
18,"11,645,478","8,142",57.30,0.000734,0.999266,"10,836,160","6,687",61.73,0.000628,0.999372,116%,123%,124%,118%,99%,102%,83%,91%,118%,127%
19,"11,539,784","8,984",56.34,0.000776,0.999224,"10,794,227","7,139",60.77,0.000673,0.999327,127%,123%,113%,101%,109%,105%,83%,87%,124%,132%
20,"11,366,129","10,012",55.38,0.000822,0.999178,"10,691,312","8,233",59.81,0.000720,0.999280,146%,146%,118%,120%,96%,97%,100%,101%,135%,133%
21,"11,304,128","9,480",54.43,0.000865,0.999135,"10,692,773","8,008",58.85,0.000767,0.999233,131%,130%,111%,118%,92%,87%,79%,85%,129%,129%
22,"11,179,287","9,880",53.47,0.000913,0.999087,"10,625,732","8,462",57.90,0.000815,0.999185,123%,123%,113%,125%,99%,98%,84%,88%,114%,108%
23,"10,919,518","10,492",52.52,0.000967,0.999033,"10,430,376","8,886",56.95,0.000866,0.999134,128%,128%,106%,110%,96%,93%,95%,95%,119%,116%
24,"10,839,374","11,886",51.57,0.001023,0.998977,"10,411,863","10,170",56.00,0.000918,0.999082,135%,138%,124%,127%,94%,97%,102%,99%,140%,132%
25,"10,761,894","11,292",50.63,0.001076,0.998924,"10,386,722","9,877",55.05,0.000967,0.999033,125%,132%,118%,115%,92%,96%,85%,91%,121%,113%
26,"10,602,609","11,573",49.68,0.001132,0.998868,"10,266,034","10,046",54.10,0.001017,0.998983,114%,114%,116%,118%,94%,91%,95%,99%,110%,103%
27,"10,390,411","12,327",48.74,0.001196,0.998804,"10,082,741","10,752",53.16,0.001073,0.998927,128%,129%,101%,111%,100%,93%,96%,101%,121%,114%
28,"10,272,875","13,828",47.80,0.001263,0.998737,"9,987,543","11,949",52.21,0.001129,0.998871,136%,137%,127%,133%,92%,91%,105%,105%,131%,122%
29,"10,129,830","13,247",46.86,0.001327,0.998673,"9,871,089","11,526",51.27,0.001181,0.998819,125%,118%,111%,120%,102%,98%,89%,90%,119%,118%
30,"9,974,162","13,387",45.92,0.001393,0.998607,"9,727,446","11,559",50.33,0.001234,0.998766,120%,117%,109%,118%,95%,91%,103%,105%,109%,101%
31,"9,901,433","14,346",44.98,0.001468,0.998532,"9,663,111","12,410",49.40,0.001292,0.998708,125%,121%,110%,116%,98%,95%,100%,105%,121%,118%
32,"9,917,035","16,436",44.05,0.001549,0.998451,"9,699,452","13,899",48.46,0.001354,0.998646,140%,131%,121%,129%,101%,98%,107%,109%,129%,120%
33,"9,897,710","15,853",43.12,0.001632,0.998368,"9,699,946","13,519",47.53,0.001417,0.998583,122%,119%,119%,123%,100%,96%,96%,101%,112%,108%
34,"9,932,422","16,564",42.19,0.001728,0.998272,"9,754,861","14,182",46.59,0.001489,0.998511,113%,108%,112%,121%,104%,101%,105%,110%,107%,103%
35,"10,107,293","18,281",41.26,0.001846,0.998154,"9,969,873","15,314",45.66,0.001578,0.998422,133%,122%,107%,110%,97%,95%,106%,111%,114%,112%
36,"10,198,132","21,678",40.34,0.001981,0.998019,"10,084,537","18,074",44.73,0.001682,0.998318,127%,115%,133%,140%,103%,100%,113%,114%,122%,120%
37,"10,163,301","21,217",39.42,0.002123,0.997877,"10,064,716","17,868",43.81,0.001793,0.998207,132%,123%,107%,108%,109%,106%,99%,104%,107%,110%
38,"10,175,883","22,613",38.50,0.002282,0.997718,"10,089,690","18,772",42.89,0.001917,0.998083,110%,103%,123%,129%,98%,88%,117%,122%,98%,99%
39,"10,049,069","24,247",37.59,0.002468,0.997532,"9,984,029","20,318",41.97,0.002065,0.997935,121%,111%,103%,107%,107%,103%,103%,105%,110%,116%
40,"9,743,145","27,905",36.68,0.002681,0.997319,"9,686,907","23,027",41.06,0.002233,0.997767,129%,122%,121%,126%,102%,94%,131%,135%,104%,105%
41,"9,460,050","26,993",35.78,0.002911,0.997089,"9,422,472","22,177",40.15,0.002418,0.997582,116%,115%,114%,116%,100%,96%,104%,100%,110%,111%
42,"9,278,367","28,635",34.89,0.003171,0.996829,"9,285,585","23,832",39.25,0.002631,0.997369,114%,112%,113%,115%,101%,98%,116%,115%,92%,95%
43,"8,979,485","30,604",34.00,0.003475,0.996525,"9,036,929","25,692",38.35,0.002881,0.997119,107%,105%,109%,113%,100%,99%,120%,118%,100%,102%
44,"8,744,051","35,620",33.12,0.003816,0.996184,"8,814,150","29,815",37.46,0.003161,0.996839,124%,122%,116%,118%,108%,104%,128%,129%,110%,112%
45,"8,662,839","35,736",32.24,0.004182,0.995818,"8,734,322","29,581",36.58,0.003458,0.996542,121%,115%,116%,119%,96%,91%,114%,116%,102%,103%
46,"8,503,918","37,985",31.38,0.004590,0.995410,"8,557,350","31,438",35.71,0.003791,0.996209,98%,94%,117%,117%,105%,99%,114%,112%,95%,100%
47,"8,301,778","41,283",30.52,0.005064,0.994936,"8,304,320","34,173",34.84,0.004176,0.995824,126%,124%,96%,95%,104%,101%,124%,121%,93%,99%
48,"8,254,305","49,068",29.68,0.005611,0.994389,"8,201,328","40,168",33.99,0.004610,0.995390,119%,116%,135%,134%,97%,89%,134%,136%,106%,114%
49,"8,164,487","49,994",28.85,0.006223,0.993777,"8,092,123","40,657",33.15,0.005079,0.994921,113%,114%,111%,111%,116%,112%,103%,100%,100%,107%
50,"7,860,564","52,737",28.03,0.006927,0.993073,"7,799,933","41,776",32.32,0.005598,0.994402,102%,98%,114%,112%,97%,95%,134%,130%,80%,84%
51,"7,490,478","56,877",27.22,0.007738,0.992262,"7,477,189","45,705",31.50,0.006179,0.993821,111%,107%,99%,102%,103%,99%,114%,115%,103%,112%
52,"7,244,325","66,907",26.43,0.008626,0.991374,"7,313,839","53,680",30.69,0.006796,0.993204,139%,142%,119%,116%,100%,96%,130%,129%,97%,107%
53,"6,891,946","64,757",25.66,0.009534,0.990466,"7,047,492","50,956",29.90,0.007411,0.992589,96%,92%,136%,134%,100%,93%,107%,105%,93%,103%
54,"6,534,884","66,502",24.91,0.010457,0.989543,"6,726,190","52,374",29.13,0.008042,0.991958,107%,102%,98%,96%,119%,117%,119%,116%,85%,92%
55,"6,302,990","70,574",24.17,0.011404,0.988596,"6,505,723","55,362",28.36,0.008711,0.991289,110%,106%,108%,107%,87%,82%,142%,143%,93%,100%
56,"6,089,598","80,066",23.45,0.012364,0.987636,"6,270,734","63,577",27.61,0.009402,0.990598,105%,102%,123%,121%,104%,102%,112%,111%,120%,136%
57,"5,839,190","76,831",22.75,0.013315,0.986685,"6,009,711","59,551",26.87,0.010081,0.989919,137%,135%,102%,97%,101%,94%,119%,118%,84%,92%
58,"5,659,067","78,122",22.05,0.014309,0.985691,"5,802,024","60,372",26.15,0.010777,0.989223,90%,84%,141%,142%,89%,86%,120%,118%,93%,102%
59,"5,445,726","82,598",21.37,0.015405,0.984595,"5,557,433","63,125",25.43,0.011524,0.988476,118%,113%,94%,87%,120%,121%,107%,108%,99%,106%
60,"5,178,112","91,283",20.71,0.016604,0.983396,"5,262,887","68,674",24.73,0.012311,0.987689,115%,109%,130%,125%,85%,79%,151%,157%,95%,104%
61,"4,937,742","85,636",20.06,0.017867,0.982133,"5,025,040","64,309",24.04,0.013102,0.986898,105%,104%,107%,103%,104%,100%,90%,87%,122%,140%
62,"4,611,495","87,248",19.42,0.019201,0.980799,"4,693,607","64,105",23.36,0.013903,0.986097,110%,106%,108%,107%,94%,87%,122%,122%,83%,88%
63,"4,228,161","86,090",18.80,0.020585,0.979415,"4,285,515","62,162",22.69,0.014711,0.985289,103%,94%,109%,110%,93%,89%,111%,107%,105%,117%
64,"3,944,298","92,484",18.20,0.021962,0.978038,"3,973,686","66,006",22.02,0.015496,0.984504,113%,112%,111%,104%,103%,100%,117%,118%,105%,114%
65,"3,688,748","83,889",17.61,0.023274,0.976726,"3,691,288","58,070",21.37,0.016229,0.983771,110%,102%,108%,107%,89%,81%,113%,110%,98%,111%
66,"3,452,592","82,397",17.03,0.024568,0.975432,"3,413,689","56,171",20.72,0.016951,0.983049,90%,84%,112%,108%,92%,89%,106%,99%,103%,115%
67,"3,247,337","83,398",16.45,0.025899,0.974101,"3,208,087","56,476",20.08,0.017697,0.982303,125%,136%,92%,92%,95%,88%,112%,108%,103%,107%
68,"3,012,159","87,341",15.89,0.027284,0.972716,"3,021,986","59,343",19.44,0.018466,0.981534,89%,84%,140%,155%,83%,80%,124%,117%,111%,125%
69,"2,713,653","75,542",15.34,0.028732,0.971268,"2,791,185","52,638",18.81,0.019257,0.980743,116%,115%,84%,82%,107%,118%,89%,86%,110%,119%
70,"2,412,053","69,885",14.79,0.030301,0.969699,"2,567,840","49,443",18.18,0.020115,0.979885,93%,91%,117%,126%,69%,64%,128%,135%,89%,101%
71,"2,135,572","67,424",14.25,0.032002,0.967998,"2,387,844","49,090",17.55,0.021067,0.978933,104%,104%,95%,98%,95%,96%,82%,75%,131%,157%
72,"1,908,155","71,179",13.73,0.033755,0.966245,"2,224,552","53,802",16.93,0.022084,0.977916,143%,142%,113%,117%,82%,79%,125%,122%,96%,103%
73,"1,699,334","58,720",13.20,0.035455,0.964545,"2,034,525","46,164",16.31,0.023111,0.976889,76%,71%,142%,153%,84%,82%,88%,85%,118%,135%
74,"1,544,224","55,527",12.69,0.037098,0.962902,"1,876,813","43,890",15.70,0.024162,0.975838,118%,118%,80%,79%,109%,107%,101%,97%,99%,111%
75,"1,489,103","55,477",12.18,0.038713,0.961287,"1,801,880","43,897",15.09,0.025266,0.974734,120%,112%,122%,131%,60%,56%,129%,123%,111%,125%
76,"1,441,776","62,974",11.67,0.040318,0.959682,"1,718,129","49,333",14.48,0.026431,0.973569,86%,88%,134%,131%,98%,98%,79%,71%,165%,180%
77,"1,341,393","56,532",11.16,0.041931,0.958069,"1,602,456","44,656",13.87,0.027660,0.972340,145%,150%,87%,95%,95%,88%,113%,106%,91%,96%
78,"1,268,452","52,910",10.65,0.043665,0.956335,"1,517,906","42,105",13.26,0.029022,0.970978,71%,65%,154%,178%,63%,64%,115%,100%,131%,147%
79,"1,174,561","53,299",10.13,0.045679,0.954321,"1,421,191","42,552",12.66,0.030617,0.969383,108%,111%,79%,76%,108%,110%,78%,75%,140%,143%
80,"1,012,815","50,331",9.62,0.048105,0.951895,"1,258,504","41,779",12.06,0.032506,0.967494,94%,98%,121%,134%,53%,50%,135%,134%,103%,115%
81,"870,874","42,255",9.11,0.051056,0.948944,"1,124,985","37,619",11.47,0.034703,0.965297,94%,97%,97%,105%,79%,81%,59%,52%,173%,199%
82,"735,488","37,796",8.60,0.054637,0.945363,"972,780","35,663",10.88,0.037204,0.962796,100%,100%,99%,116%,63%,67%,92%,89%,85%,91%
83,"592,105","30,902",8.09,0.058904,0.941096,"818,580","30,209",10.30,0.039987,0.960013,62%,63%,115%,133%,62%,69%,73%,72%,120%,137%
84,"506,748","29,440",7.60,0.063869,0.936131,"721,245","29,913",9.73,0.043043,0.956957,88%,93%,72%,82%,71%,81%,76%,80%,109%,119%
85,"444,484","23,777",7.12,0.069532,0.930468,"645,024","25,017",9.16,0.046397,0.953603,71%,79%,96%,114%,44%,47%,72%,82%,106%,119%
86,"393,011","21,497",6.65,0.075921,0.924079,"578,007","23,724",8.61,0.050129,0.949871,54%,60%,80%,101%,67%,76%,43%,46%,111%,134%
87,"355,259","19,960",6.19,0.083101,0.916899,"516,269","22,451",8.06,0.054368,0.945632,90%,102%,60%,79%,51%,61%,59%,64%,76%,85%
88,"325,513","18,729",5.76,0.091181,0.908819,"459,238","20,206",7.53,0.059270,0.940730,37%,39%,97%,125%,44%,51%,49%,59%,99%,112%
89,"289,147","16,144",5.33,0.100295,0.899705,"400,056","17,128",7.00,0.065021,0.934979,58%,67%,41%,48%,67%,79%,33%,39%,83%,98%
90,"249,966","13,730",4.93,0.110590,0.889410,"337,271","13,761",6.49,0.071820,0.928180,42%,48%,64%,87%,29%,29%,55%,61%,63%,74%
91,"214,246","12,961",4.54,0.122198,0.877802,"282,613","13,024",5.99,0.079865,0.920135,35%,45%,48%,62%,63%,59%,22%,23%,96%,119%
92,"162,923","11,928",4.17,0.135220,0.864780,"205,336","11,820",5.51,0.089331,0.910669,39%,55%,43%,59%,53%,45%,35%,42%,43%,51%
93,"119,403","7,621",3.83,0.149714,0.850286,"145,346","6,934",5.05,0.100354,0.899646,24%,27%,45%,69%,49%,40%,23%,27%,60%,72%
94,"98,780","6,659",3.50,0.165699,0.834301,"122,482","5,993",4.62,0.113024,0.886976,30%,38%,30%,37%,61%,46%,21%,25%,44%,53%
95,"78,581","5,435",3.19,0.183166,0.816834,"101,672","4,807",4.20,0.127397,0.872603,20%,24%,35%,48%,44%,25%,22%,26%,40%,52%
96,"62,829","4,654",2.91,0.202084,0.797916,"84,623","4,419",3.82,0.143499,0.856501,21%,27%,26%,34%,54%,36%,14%,14%,51%,61%
97,"50,144","3,381",2.65,0.222408,0.777592,"68,352","3,360",3.46,0.161346,0.838654,20%,30%,22%,32%,33%,18%,14%,18%,35%,35%
98,"39,235","2,201",2.41,0.244075,0.755925,"54,275","2,232",3.12,0.180955,0.819045,9%,12%,28%,33%,20%,12%,11%,12%,39%,42%
99,"29,655","1,675",2.18,0.267009,0.732991,"41,748","1,929",2.81,0.202353,0.797647,18%,22%,12%,16%,14%,14%,11%,12%,31%,31%
100,"21,425","1,241",1.98,0.291119,0.708881,"30,693","1,456",2.53,0.225572,0.774428,14%,18%,26%,34%,6%,6%,13%,15%,31%,34%
101,"15,220",923,1.79,0.316297,0.683703,"22,816","1,227",2.26,0.250649,0.749351,17%,18%,18%,24%,13%,12%,5%,5%,31%,39%
102,"9,030",615,1.62,0.342423,0.657577,"13,655",887,2.02,0.277614,0.722386,21%,25%,17%,23%,8%,8%,9%,13%,17%,18%
103,"5,099",295,1.46,0.369364,0.630636,"7,751",423,1.80,0.306485,0.693515,8%,13%,23%,25%,5%,8%,6%,8%,28%,29%
104,"3,915",268,1.32,0.396967,0.603033,"6,267",376,1.59,0.337265,0.662735,12%,15%,18%,13%,6%,10%,8%,8%,21%,27%
105,"3,231",168,1.18,0.425069,0.574931,"5,519",228,1.40,0.369940,0.630060,9%,8%,17%,26%,8%,3%,7%,7%,19%,18%
106,"2,705",138,1.06,0.453489,0.546511,"4,738",223,1.22,0.404473,0.595527,7%,9%,12%,12%,7%,7%,7%,6%,19%,23%
107,"2,031",100,0.94,0.482033,0.517967,"3,499",160,1.05,0.440808,0.559192,53%,49%,5%,8%,4%,2%,6%,6%,17%,14%
108,"1,490",88,0.81,0.510493,0.489507,"2,484",144,0.88,0.478863,0.521137,52%,44%,80%,127%,3%,3%,4%,3%,21%,19%
109,922,78,0.66,0.538649,0.461351,"1,508",102,0.69,0.518532,0.481468,106%,116%,98%,94%,66%,64%,4%,1%,13%,9%
110,275,37,0.43,0.566271,0.433729,425,70,0.44,0.559684,0.440316,100%,79%,221%,179%,0%,1%,64%,167%,9%,8%
111,1,1,0.00,1.000000,0.000000,1,1,0.00,1.000000,0.000000,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,,,,,,,,,,,,,,,,,,,,
